https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHSB,Volume BTC
1658880000,2022-07-27 00:00:00,CHSB/BTC,0.00000902,0.00000904,0.00000902,0.00000904,231.2267,0.002085685578
1658793600,2022-07-26 00:00:00,CHSB/BTC,0.00000903,0.00000928,0.00000795,0.00000903,99295.4069,0.864497569014
1658707200,2022-07-25 00:00:00,CHSB/BTC,0.00000883,0.00000938,0.0000087,0.00000903,144094.1311,1.301765740024
1658620800,2022-07-24 00:00:00,CHSB/BTC,0.00000891,0.00000897,0.00000872,0.00000883,3007.2084,0.026607206655
1658534400,2022-07-23 00:00:00,CHSB/BTC,0.00000874,0.00000891,0.00000857,0.00000891,16156.2108,0.140494734353
1658448000,2022-07-22 00:00:00,CHSB/BTC,0.00000901,0.00000909,0.00000848,0.00000874,18958.4808,0.164661661952
1658361600,2022-07-21 00:00:00,CHSB/BTC,0.00000886,0.00000905,0.00000871,0.00000903,99039.832,0.883125408015
1658275200,2022-07-20 00:00:00,CHSB/BTC,0.00000905,0.00000929,0.00000859,0.00000885,129759.0442,1.157399161747
1658188800,2022-07-19 00:00:00,CHSB/BTC,0.00000952,0.00000974,0.00000873,0.00000906,117689.3583,1.100255456134
1658102400,2022-07-18 00:00:00,CHSB/BTC,0.0000095,0.00000971,0.00000918,0.00000952,203619.0549,1.923395655654
1658016000,2022-07-17 00:00:00,CHSB/BTC,0.00000947,0.00000977,0.00000926,0.00000949,79865.2303,0.757943582549
1657929600,2022-07-16 00:00:00,CHSB/BTC,0.0000095,0.00000973,0.00000919,0.00000944,90121.159,0.849144082901
1657843200,2022-07-15 00:00:00,CHSB/BTC,0.0000095,0.00000975,0.00000937,0.00000952,77978.2546,0.74276873233
1657756800,2022-07-14 00:00:00,CHSB/BTC,0.00000995,0.00000995,0.00000944,0.0000095,83315.2943,0.801488194367
1657670400,2022-07-13 00:00:00,CHSB/BTC,0.0000098,0.00001004,0.00000955,0.00000995,50569.9361,0.496121277331
1657584000,2022-07-12 00:00:00,CHSB/BTC,0.00000952,0.00000983,0.00000927,0.00000983,11487.7088,0.11009112157
1657497600,2022-07-11 00:00:00,CHSB/BTC,0.00000958,0.00000972,0.00000948,0.00000956,14256.1092,0.136804204533
1657411200,2022-07-10 00:00:00,CHSB/BTC,0.0000095,0.00001056,0.00000928,0.00000962,58050.0636,0.557183849024
1657324800,2022-07-09 00:00:00,CHSB/BTC,0.00000925,0.00000959,0.00000925,0.0000095,19543.884,0.184612703262
