https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TWT,Volume BTC
1663459200,2022-09-18 00:00:00,TWT/BTC,0.00004942,0.00004942,0.00004942,0.00004942,0.2111,0.000010432562
1663372800,2022-09-17 00:00:00,TWT/BTC,0.00004922,0.0000498,0.00004864,0.0000498,1687.732,0.082862643393
1663286400,2022-09-16 00:00:00,TWT/BTC,0.00004989,0.00005021,0.00004822,0.00004923,5034.4561,0.247200573975
1663200000,2022-09-15 00:00:00,TWT/BTC,0.00005039,0.00005064,0.0000494,0.00005002,2052.5833,0.102462046539
1663113600,2022-09-14 00:00:00,TWT/BTC,0.00005069,0.00005119,0.00004946,0.00005009,8609.1843,0.43324423448
1663027200,2022-09-13 00:00:00,TWT/BTC,0.00004466,0.00005162,0.0000446,0.00005074,13049.8203,0.638204229427
1662940800,2022-09-12 00:00:00,TWT/BTC,0.000047,0.00004703,0.0000446,0.00004474,4050.5876,0.185266116344
1662854400,2022-09-11 00:00:00,TWT/BTC,0.00004771,0.00004822,0.000047,0.00004709,13361.5991,0.639443155371
1662768000,2022-09-10 00:00:00,TWT/BTC,0.00004922,0.00004957,0.00004765,0.00004799,1836.4998,0.088477941115
1662681600,2022-09-09 00:00:00,TWT/BTC,0.0000506,0.0000506,0.00004861,0.000049,4417.5516,0.219509061278
1662595200,2022-09-08 00:00:00,TWT/BTC,0.00005023,0.00005078,0.00005013,0.0000503,2633.6183,0.132530740136
1662508800,2022-09-07 00:00:00,TWT/BTC,0.00005007,0.00005085,0.00004978,0.00005024,17074.4772,0.862189858013
1662422400,2022-09-06 00:00:00,TWT/BTC,0.00004968,0.00005007,0.00004902,0.00004982,9195.8854,0.455294334116
1662336000,2022-09-05 00:00:00,TWT/BTC,0.00004921,0.00004971,0.00004818,0.00004963,6298.0461,0.305887428787
1662249600,2022-09-04 00:00:00,TWT/BTC,0.00004889,0.00004921,0.00004861,0.00004921,603.2086,0.029488432175
1662163200,2022-09-03 00:00:00,TWT/BTC,0.00004827,0.00004873,0.00004827,0.00004859,338.2436,0.016419320946
1662076800,2022-09-02 00:00:00,TWT/BTC,0.0000478,0.00004865,0.00004737,0.00004832,3028.7833,0.146752104817
1661990400,2022-09-01 00:00:00,TWT/BTC,0.00004739,0.00004817,0.00004726,0.0000477,2564.3021,0.122865084639
1661904000,2022-08-31 00:00:00,TWT/BTC,0.0000489,0.00004899,0.00004738,0.00004748,1396.35,0.066881390479
