https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XDB,Volume USDT
1663459200,2022-09-18 00:00:00,XDB/USDT,0.0044863,0.0046,0.0043765,0.00447662,4307756.1975,19326.994535220449
1663372800,2022-09-17 00:00:00,XDB/USDT,0.00343607,0.00465311,0.00340113,0.00448629,173263499.8764,726232.916119324298
1663286400,2022-09-16 00:00:00,XDB/USDT,0.00381339,0.00383871,0.0032327,0.00343607,78661062.4135,274538.509665976321
1663200000,2022-09-15 00:00:00,XDB/USDT,0.0040762,0.0045,0.00379,0.00383871,59957523.30746118,247715.5432532723002118
1663113600,2022-09-14 00:00:00,XDB/USDT,0.0042899,0.00465005,0.00405,0.004057,61896158.8264,262110.2983506834
1663027200,2022-09-13 00:00:00,XDB/USDT,0.0053221,0.00535935,0.00414226,0.00429736,68672796.0501,316603.73516451867
1662940800,2022-09-12 00:00:00,XDB/USDT,0.00613799,0.0061382,0.00509455,0.00534183,58370399.7824,323686.77291930015
1662854400,2022-09-11 00:00:00,XDB/USDT,0.00691564,0.00701526,0.0055,0.00613799,81878297.8299,493808.921068676272
1662768000,2022-09-10 00:00:00,XDB/USDT,0.0049222,0.00900001,0.00483195,0.00695028,247720811.51989291,1761831.3633468461486013
1662681600,2022-09-09 00:00:00,XDB/USDT,0.00494283,0.00568951,0.00448739,0.00492223,117458922.0146,584255.107536962673
1662595200,2022-09-08 00:00:00,XDB/USDT,0.00597641,0.00612,0.004901,0.0049458,53890438.6267,290081.4796776161
1662508800,2022-09-07 00:00:00,XDB/USDT,0.00615323,0.00626144,0.00533965,0.00598628,53471544.4839,309250.650487203175
1662422400,2022-09-06 00:00:00,XDB/USDT,0.00766128,0.007885,0.00602775,0.00615617,45381083.5813,305063.625418491175
1662336000,2022-09-05 00:00:00,XDB/USDT,0.00805,0.00813579,0.00753,0.00767138,11612984.0631,90266.359689132789
1662249600,2022-09-04 00:00:00,XDB/USDT,0.0081,0.00846295,0.00776635,0.00809875,11888588.4482,95582.591004411101
1662163200,2022-09-03 00:00:00,XDB/USDT,0.007973,0.00848999,0.00775007,0.0081,18669019.5626,152258.6668539443
