https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,DASH/BTC,0.00207700,0.00207800,0.00207200,0.00207200,164.14200000,0.34074071,37
1663459200000,2022-09-18 00:00:00,DASH/BTC,0.00221500,0.00222400,0.00206000,0.00207600,20155.37400000,43.17429692,5600
1663372800000,2022-09-17 00:00:00,DASH/BTC,0.00221200,0.00223500,0.00219500,0.00221600,6832.23100000,15.14872637,1856
1663286400000,2022-09-16 00:00:00,DASH/BTC,0.00223000,0.00225400,0.00220300,0.00221000,12425.18900000,27.67212840,3358
1663200000000,2022-09-15 00:00:00,DASH/BTC,0.00225300,0.00226100,0.00216400,0.00222500,20222.07500000,44.79165001,5632
1663113600000,2022-09-14 00:00:00,DASH/BTC,0.00217400,0.00227000,0.00216400,0.00225300,22050.30200000,48.82819609,5418
1663027200000,2022-09-13 00:00:00,DASH/BTC,0.00210400,0.00220900,0.00206400,0.00217400,33102.49100000,70.46680035,8593
1662940800000,2022-09-12 00:00:00,DASH/BTC,0.00221200,0.00224300,0.00210000,0.00210300,19316.56300000,42.16600510,6261
1662854400000,2022-09-11 00:00:00,DASH/BTC,0.00225600,0.00226600,0.00219900,0.00221200,10928.93100000,24.36003050,3090
1662768000000,2022-09-10 00:00:00,DASH/BTC,0.00229400,0.00234500,0.00224500,0.00225100,12520.58500000,28.78399793,4628
1662681600000,2022-09-09 00:00:00,DASH/BTC,0.00239700,0.00241600,0.00224900,0.00229400,30319.69300000,70.43010762,8740
1662595200000,2022-09-08 00:00:00,DASH/BTC,0.00233000,0.00240300,0.00231400,0.00239600,23902.49000000,56.40406820,6110
1662508800000,2022-09-07 00:00:00,DASH/BTC,0.00227300,0.00236400,0.00225800,0.00233200,22176.87900000,51.16883090,5351
1662422400000,2022-09-06 00:00:00,DASH/BTC,0.00240700,0.00242900,0.00226500,0.00227300,28021.32400000,65.76325843,7732
1662336000000,2022-09-05 00:00:00,DASH/BTC,0.00238300,0.00243900,0.00235700,0.00240500,12892.72700000,30.89005111,4693
1662249600000,2022-09-04 00:00:00,DASH/BTC,0.00235600,0.00239000,0.00234200,0.00238000,6517.92500000,15.44659834,1964
1662163200000,2022-09-03 00:00:00,DASH/BTC,0.00229200,0.00236900,0.00227700,0.00235400,16647.88100000,38.74110597,4608
1662076800000,2022-09-02 00:00:00,DASH/BTC,0.00222500,0.00229300,0.00221500,0.00229200,17986.52500000,40.69136549,4714
1661990400000,2022-09-01 00:00:00,DASH/BTC,0.00222100,0.00223300,0.00218600,0.00222200,12878.13900000,28.43048518,3575
1661904000000,2022-08-31 00:00:00,DASH/BTC,0.00230400,0.00232000,0.00221600,0.00221900,26278.11900000,59.02753918,5837
1661817600000,2022-08-30 00:00:00,DASH/BTC,0.00233900,0.00235300,0.00229100,0.00230100,13090.60300000,30.40075155,3870
1661731200000,2022-08-29 00:00:00,DASH/BTC,0.00226000,0.00234300,0.00223200,0.00233800,19417.23100000,44.55509184,5146
1661644800000,2022-08-28 00:00:00,DASH/BTC,0.00225100,0.00229500,0.00224100,0.00225600,12138.40400000,27.52015814,3175
1661558400000,2022-08-27 00:00:00,DASH/BTC,0.00219000,0.00225700,0.00217600,0.00224900,11848.00500000,26.39540877,3149
1661472000000,2022-08-26 00:00:00,DASH/BTC,0.00227900,0.00228100,0.00216700,0.00219000,28016.17400000,62.22864547,7128
1661385600000,2022-08-25 00:00:00,DASH/BTC,0.00230100,0.00230800,0.00226000,0.00228000,12145.04900000,27.77320549,3483
1661299200000,2022-08-24 00:00:00,DASH/BTC,0.00225800,0.00232900,0.00222900,0.00229900,14234.32400000,32.56955084,4141
1661212800000,2022-08-23 00:00:00,DASH/BTC,0.00220600,0.00226200,0.00218000,0.00225300,19349.19600000,43.08982011,5308
1661126400000,2022-08-22 00:00:00,DASH/BTC,0.00217800,0.00222200,0.00210800,0.00220600,18764.12400000,40.53999810,5561
1661040000000,2022-08-21 00:00:00,DASH/BTC,0.00216200,0.00219300,0.00214800,0.00217200,12041.40400000,26.12290287,3269
