https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SYS,Volume BTC
1663459200,2022-09-18 00:00:00,SYS/BTC,0.00000869,0.00000869,0.00000869,0.00000869,1.2064,0.000010483616
1663455600,2022-09-17 23:00:00,SYS/BTC,0.00000871,0.00000871,0.00000867,0.00000867,577.9841,0.005020648251
1663452000,2022-09-17 22:00:00,SYS/BTC,0.00000865,0.00000873,0.00000865,0.00000873,499.2329,0.004338543539
1663448400,2022-09-17 21:00:00,SYS/BTC,0.00000865,0.00000869,0.00000862,0.00000869,1776.628,0.015404923723
1663444800,2022-09-17 20:00:00,SYS/BTC,0.00000859,0.00000859,0.00000857,0.00000857,225.741,0.001938734722
1663441200,2022-09-17 19:00:00,SYS/BTC,0.00000869,0.00000869,0.00000859,0.00000859,675.3066,0.005814000758
1663437600,2022-09-17 18:00:00,SYS/BTC,0.00000861,0.0000088,0.00000844,0.00000861,9730.0968,0.083550482733
1663434000,2022-09-17 17:00:00,SYS/BTC,0.00000845,0.00000868,0.00000845,0.00000864,9870.2987,0.085170327001
1663430400,2022-09-17 16:00:00,SYS/BTC,0.00000853,0.00000863,0.00000846,0.00000846,1711.1488,0.014597781802
1663426800,2022-09-17 15:00:00,SYS/BTC,0.00000854,0.00000854,0.00000849,0.00000849,709.4038,0.006029678167
1663423200,2022-09-17 14:00:00,SYS/BTC,0.00000841,0.00000854,0.00000841,0.00000854,3308.8741,0.027989102911
1663419600,2022-09-17 13:00:00,SYS/BTC,0.00000833,0.00000839,0.00000833,0.00000839,515.1665,0.004308319509
1663416000,2022-09-17 12:00:00,SYS/BTC,0.00000813,0.00000833,0.00000813,0.00000829,10786.69,0.088341817855
1663412400,2022-09-17 11:00:00,SYS/BTC,0.00000811,0.00000811,0.0000081,0.0000081,235.266,0.001907284326
1663408800,2022-09-17 10:00:00,SYS/BTC,0.00000817,0.00000817,0.00000813,0.00000816,102.8481,0.000837476848
1663405200,2022-09-17 09:00:00,SYS/BTC,0.00000817,0.00000817,0.00000817,0.00000817,2168.9766,0.017720538822
1663401600,2022-09-17 08:00:00,SYS/BTC,0.00000815,0.00000817,0.00000815,0.00000817,25430.9118,0.207749993865
1663398000,2022-09-17 07:00:00,SYS/BTC,0.00000818,0.00000818,0.00000816,0.00000816,130.2709,0.001064751818
1663394400,2022-09-17 06:00:00,SYS/BTC,0.00000821,0.00000821,0.00000818,0.00000819,498.8007,0.004085750026
1663390800,2022-09-17 05:00:00,SYS/BTC,0.00000826,0.00000837,0.00000821,0.00000821,4071.6703,0.033663283496
1663387200,2022-09-17 04:00:00,SYS/BTC,0.00000829,0.00000829,0.00000829,0.00000829,660.4007,0.005474721803
1663383600,2022-09-17 03:00:00,SYS/BTC,0.00000829,0.00000829,0.00000829,0.00000829,63.3457,0.000525135853
1663380000,2022-09-17 02:00:00,SYS/BTC,0.00000827,0.00000829,0.00000827,0.00000829,360.2858,0.00298414984
1663376400,2022-09-17 01:00:00,SYS/BTC,0.00000826,0.00000829,0.00000823,0.00000826,507.4724,0.004201037221
1663372800,2022-09-17 00:00:00,SYS/BTC,0.00000815,0.00000826,0.00000815,0.00000826,1276.2532,0.010471588594
1663369200,2022-09-16 23:00:00,SYS/BTC,0.00000815,0.00000815,0.00000813,0.00000815,1255.2396,0.010220174725
