https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume BTC
1663459200,2022-09-18 00:00:00,FTM/BTC,0.00001254,0.00001258,0.00001252,0.00001255,4390.19517326,0.0551509143298148
1663372800,2022-09-17 00:00:00,FTM/BTC,0.00001248,0.00001258,0.00001236,0.00001254,65261.07143556,0.8133940444979548
1663286400,2022-09-16 00:00:00,FTM/BTC,0.00001221,0.00001257,0.00001211,0.00001248,205030.69082816,2.5260160430332794
1663200000,2022-09-15 00:00:00,FTM/BTC,0.00001241,0.00001241,0.00001197,0.00001221,155972.41547861,1.9016068531796466
1663113600,2022-09-14 00:00:00,FTM/BTC,0.00001229,0.0000125,0.00001216,0.00001242,113887.15281015,1.4095997527643875
1663027200,2022-09-13 00:00:00,FTM/BTC,0.00001197,0.00001247,0.00001174,0.00001229,328505.94735339,3.9889176615733565
1662940800,2022-09-12 00:00:00,FTM/BTC,0.00001249,0.00001288,0.00001188,0.00001201,331323.49706848,4.0782037242636886
1662854400,2022-09-11 00:00:00,FTM/BTC,0.00001268,0.00001292,0.00001232,0.00001251,154453.55520415,1.9374232711211697
1662768000,2022-09-10 00:00:00,FTM/BTC,0.0000128,0.00001344,0.00001261,0.00001267,250580.59786272,3.2756696583004767
1662681600,2022-09-09 00:00:00,FTM/BTC,0.00001311,0.00001322,0.00001254,0.00001279,154631.54594227,1.9864973138747064
1662595200,2022-09-08 00:00:00,FTM/BTC,0.00001318,0.00001336,0.00001294,0.0000131,139367.76631599,1.8257300841107204
1662508800,2022-09-07 00:00:00,FTM/BTC,0.00001299,0.00001343,0.00001286,0.00001318,132299.49183245,1.7410774390954543
1662422400,2022-09-06 00:00:00,FTM/BTC,0.00001339,0.00001363,0.00001288,0.000013,154667.82525515,2.0481472103163611
1662336000,2022-09-05 00:00:00,FTM/BTC,0.00001366,0.00001382,0.00001317,0.00001338,96851.66983797,1.2950257380293846
1662249600,2022-09-04 00:00:00,FTM/BTC,0.00001348,0.00001378,0.00001346,0.00001367,45427.54749692,0.6205301321411329
1662163200,2022-09-03 00:00:00,FTM/BTC,0.0000135,0.00001361,0.00001337,0.00001348,32082.78964918,0.4329933441419706
1662076800,2022-09-02 00:00:00,FTM/BTC,0.00001353,0.00001377,0.00001338,0.0000135,109152.02654442,1.4810431462544961
1661990400,2022-09-01 00:00:00,FTM/BTC,0.00001363,0.00001371,0.0000133,0.00001355,47247.21470267,0.6384821201345066
1661904000,2022-08-31 00:00:00,FTM/BTC,0.00001384,0.00001406,0.00001362,0.00001363,117335.91404199,1.6265107337979541
1661817600,2022-08-30 00:00:00,FTM/BTC,0.0000139,0.00001412,0.00001363,0.00001381,112110.02599086,1.5500961571477563
1661731200,2022-08-29 00:00:00,FTM/BTC,0.00001353,0.000014,0.00001327,0.00001392,224550.81367226,3.0596841130932916
1661644800,2022-08-28 00:00:00,FTM/BTC,0.0000137,0.00001403,0.00001347,0.00001352,70861.22912831,0.973326134259767
1661558400,2022-08-27 00:00:00,FTM/BTC,0.00001351,0.00001378,0.00001335,0.0000137,105044.49738307,1.4276659648187271
1661472000,2022-08-26 00:00:00,FTM/BTC,0.00001419,0.00001423,0.00001331,0.00001354,249353.67704124,3.4572470390222291
1661385600,2022-08-25 00:00:00,FTM/BTC,0.00001413,0.00001469,0.00001407,0.00001425,254920.82052104,3.6751849888508588
1661299200,2022-08-24 00:00:00,FTM/BTC,0.00001415,0.00001458,0.00001384,0.00001412,100262.97429905,1.4162643014336601
1661212800,2022-08-23 00:00:00,FTM/BTC,0.00001383,0.00001431,0.00001375,0.0000142,83800.57376791,1.1815156939833461
