https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume TON
1663545600000,2022-09-19 00:00:00,TON/USDT,1.592765,1.607277,1.57,1.601361,3621.320634462422,2261.40179164
1663459200000,2022-09-18 00:00:00,TON/USDT,1.642812,1.664999,1.574262,1.583295,62621.585719299495,39551.43275214
1663372800000,2022-09-17 00:00:00,TON/USDT,1.640678,1.66198,1.581686,1.64,24026.478671490397,14650.29187286
1663286400000,2022-09-16 00:00:00,TON/USDT,1.661259,1.688339,1.63201,1.640091,31311.041349580428,19091.03906404
1663200000000,2022-09-15 00:00:00,TON/USDT,1.735758,1.765265,1.58,1.665458,88568.3113202197,53179.55260368
1663113600000,2022-09-14 00:00:00,TON/USDT,1.777777,1.819437,1.711,1.732532,43142.55452317606,24901.44743253
1663027200000,2022-09-13 00:00:00,TON/USDT,1.839967,1.879117,1.77,1.789681,36555.46610119994,20425.68820991
1662940800000,2022-09-12 00:00:00,TON/USDT,1.860723,1.881851,1.76291,1.842063,50512.945873633296,27421.94261197
1662854400000,2022-09-11 00:00:00,TON/USDT,1.901513,1.937154,1.850011,1.85624,50603.287243336235,27261.17702632
1662768000000,2022-09-10 00:00:00,TON/USDT,1.872,1.950001,1.864267,1.902174,43213.18039520415,22717.78522638
1662681600000,2022-09-09 00:00:00,TON/USDT,1.841788,1.986,1.83032,1.879252,62007.130329087966,32995.64418667
1662595200000,2022-09-08 00:00:00,TON/USDT,1.859344,2.005904,1.78463,1.838149,91676.71733711453,49874.47553877
1662508800000,2022-09-07 00:00:00,TON/USDT,1.64001,2.166442,1.64001,1.854536,273548.60480559245,147502.45064296
1662422400000,2022-09-06 00:00:00,TON/USDT,1.672896,1.96,1.531894,1.64,286273.3869093852,174556.94323743
1662336000000,2022-09-05 00:00:00,TON/USDT,1.46531,1.744,1.453,1.668678,151835.21010848676,90991.31774284
1662249600000,2022-09-04 00:00:00,TON/USDT,1.455761,1.485,1.450077,1.466001,30978.093805445274,21131.01819538
1662163200000,2022-09-03 00:00:00,TON/USDT,1.478647,1.48997,1.450088,1.46635,22984.105367777338,15674.36517051
1662076800000,2022-09-02 00:00:00,TON/USDT,1.472757,1.509,1.4318,1.477681,44009.56109964638,29782.85644848
1661990400000,2022-09-01 00:00:00,TON/USDT,1.488532,1.50199,1.425201,1.4732,43339.509216027414,29418.61879991
1661904000000,2022-08-31 00:00:00,TON/USDT,1.471987,1.53,1.4261,1.493832,106978.3247418276,71613.35728638
1661817600000,2022-08-30 00:00:00,TON/USDT,1.396951,1.499999,1.379012,1.473112,40394.18751056309,27420.98870321
1661731200000,2022-08-29 00:00:00,TON/USDT,1.341584,1.51,1.331188,1.400691,98283.15137121326,70167.61824786
1661644800000,2022-08-28 00:00:00,TON/USDT,1.330584,1.379797,1.3152,1.338086,30824.127518332927,23035.98387423
1661558400000,2022-08-27 00:00:00,TON/USDT,1.352238,1.384387,1.299988,1.336368,46515.262673905134,34807.2257596
1661472000000,2022-08-26 00:00:00,TON/USDT,1.505,1.54998,1.3434,1.361882,112249.7184590745,82422.49949634
1661385600000,2022-08-25 00:00:00,TON/USDT,1.280257,1.549979,1.25173,1.502586,439923.23856671853,292777.41078828
1661299200000,2022-08-24 00:00:00,TON/USDT,1.298791,1.308449,1.274231,1.275902,62066.26989830199,48645.01340879
1661212800000,2022-08-23 00:00:00,TON/USDT,1.251446,1.315,1.23,1.29961,107846.11803071643,82983.44736553
1661126400000,2022-08-22 00:00:00,TON/USDT,1.156823,1.160397,1.151994,1.153501,742.3433090377155,643.55671043
1661040000000,2022-08-21 00:00:00,TON/USDT,1.163714,1.173,1.142703,1.15611,19826.873988864903,17149.64319041
1660953600000,2022-08-20 00:00:00,TON/USDT,1.17001,1.1871,1.141519,1.163786,31401.112471494507,26981.86133146
1660867200000,2022-08-19 00:00:00,TON/USDT,1.253558,1.264858,1.110001,1.16748,93193.34187444464,79824.35833971
