https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EWT,Volume BTC
1663462800,2022-09-18 01:00:00,EWT/BTC,0.00020028,0.00020048,0.00020028,0.00020048,3.2421,0.000649965848
1663459200,2022-09-18 00:00:00,EWT/BTC,0.0001996,0.00020068,0.0001996,0.00020043,287.1709,0.057514161651
1663455600,2022-09-17 23:00:00,EWT/BTC,0.00019868,0.0001996,0.00019843,0.0001996,58.9832,0.011745466317
1663452000,2022-09-17 22:00:00,EWT/BTC,0.00020016,0.00020034,0.0001978,0.00019868,920.0601,0.182768123114
1663448400,2022-09-17 21:00:00,EWT/BTC,0.00020138,0.00020225,0.00019987,0.00020035,598.7383,0.120377495143
1663444800,2022-09-17 20:00:00,EWT/BTC,0.00020114,0.00020186,0.00020066,0.0002015,634.6118,0.12771440229
1663441200,2022-09-17 19:00:00,EWT/BTC,0.00019984,0.00020114,0.00019967,0.00020114,316.9219,0.06353778458
1663437600,2022-09-17 18:00:00,EWT/BTC,0.0001999,0.00020052,0.00019944,0.00019994,153.2864,0.030647581601
1663434000,2022-09-17 17:00:00,EWT/BTC,0.00020121,0.00020172,0.0001991,0.00019995,284.41,0.05694149499
1663430400,2022-09-17 16:00:00,EWT/BTC,0.00020394,0.00020404,0.0002,0.00020117,720.2829,0.144886814667
1663426800,2022-09-17 15:00:00,EWT/BTC,0.00020209,0.00020393,0.00020188,0.00020393,132.5917,0.026904038669
1663423200,2022-09-17 14:00:00,EWT/BTC,0.00020559,0.00020613,0.00020219,0.00020219,2259.7377,0.461345204066
1663419600,2022-09-17 13:00:00,EWT/BTC,0.00020596,0.00020611,0.00020559,0.00020559,282.5895,0.058157924422
1663416000,2022-09-17 12:00:00,EWT/BTC,0.0002055,0.00020592,0.00020505,0.00020592,368.8632,0.075774393916
1663412400,2022-09-17 11:00:00,EWT/BTC,0.00020411,0.00020587,0.00020411,0.00020553,423.7544,0.08692548279
1663408800,2022-09-17 10:00:00,EWT/BTC,0.00020286,0.00020421,0.00020186,0.00020421,917.302,0.18631389048
1663405200,2022-09-17 09:00:00,EWT/BTC,0.00020121,0.00020311,0.0002012,0.00020288,493.5227,0.099755511715
1663401600,2022-09-17 08:00:00,EWT/BTC,0.00020101,0.00020168,0.00020087,0.0002014,190.4528,0.038333017067
1663398000,2022-09-17 07:00:00,EWT/BTC,0.00020086,0.00020132,0.00019974,0.00020094,1187.6236,0.237928126164
1663394400,2022-09-17 06:00:00,EWT/BTC,0.00020082,0.00020181,0.00020079,0.00020113,231.7647,0.046676947283
1663390800,2022-09-17 05:00:00,EWT/BTC,0.00020001,0.00020096,0.00019996,0.00020077,541.9927,0.108651789208
1663387200,2022-09-17 04:00:00,EWT/BTC,0.00019935,0.0002002,0.00019826,0.00020015,807.4041,0.16115099843
1663383600,2022-09-17 03:00:00,EWT/BTC,0.00019858,0.00019935,0.00019828,0.00019935,166.8165,0.033210510283
1663380000,2022-09-17 02:00:00,EWT/BTC,0.00019771,0.00019871,0.00019745,0.00019862,126.3058,0.025007170373
1663376400,2022-09-17 01:00:00,EWT/BTC,0.0002005,0.00020064,0.00019495,0.0001976,3027.6066,0.598678914634
1663372800,2022-09-17 00:00:00,EWT/BTC,0.00020145,0.00020152,0.00019924,0.0002005,549.2387,0.109974918038
1663369200,2022-09-16 23:00:00,EWT/BTC,0.00020171,0.00020264,0.00020103,0.00020162,485.6352,0.098044837785
1663365600,2022-09-16 22:00:00,EWT/BTC,0.0002022,0.0002022,0.00020054,0.00020155,767.3045,0.154504917646
1663362000,2022-09-16 21:00:00,EWT/BTC,0.0002025,0.0002025,0.00020163,0.00020229,241.8938,0.048865008731
1663358400,2022-09-16 20:00:00,EWT/BTC,0.00020162,0.00020389,0.00020158,0.00020296,246.9134,0.050050067531
1663354800,2022-09-16 19:00:00,EWT/BTC,0.00020122,0.00020321,0.00020091,0.00020191,238.369,0.048183349901
1663351200,2022-09-16 18:00:00,EWT/BTC,0.00020102,0.00020191,0.00020046,0.00020046,525.2564,0.105779250122
1663347600,2022-09-16 17:00:00,EWT/BTC,0.00020537,0.000215,0.0002,0.0002009,3626.7236,0.746712896198
1663344000,2022-09-16 16:00:00,EWT/BTC,0.00020425,0.00020716,0.00020425,0.00020534,580.0726,0.119214452733
1663340400,2022-09-16 15:00:00,EWT/BTC,0.00020331,0.00021273,0.00020302,0.00020431,4061.3718,0.837557005303
1663336800,2022-09-16 14:00:00,EWT/BTC,0.00020157,0.0002035,0.00020087,0.0002035,1113.6233,0.224683847691
1663333200,2022-09-16 13:00:00,EWT/BTC,0.00020103,0.00020218,0.00020048,0.00020199,971.9179,0.195560373425
1663329600,2022-09-16 12:00:00,EWT/BTC,0.00019805,0.00020113,0.00019797,0.00020113,1532.7303,0.305937230422
1663326000,2022-09-16 11:00:00,EWT/BTC,0.00019869,0.00019894,0.00019782,0.00019799,379.7306,0.075322419073
1663322400,2022-09-16 10:00:00,EWT/BTC,0.00019896,0.00019942,0.00019807,0.00019871,322.4556,0.064098866952
1663318800,2022-09-16 09:00:00,EWT/BTC,0.00019839,0.00020011,0.00019675,0.00019891,2155.7397,0.425744322433
1663315200,2022-09-16 08:00:00,EWT/BTC,0.00020015,0.00020228,0.00019817,0.00019863,1787.7064,0.358616928248
1663311600,2022-09-16 07:00:00,EWT/BTC,0.00020026,0.00020069,0.00019985,0.00020029,141.2987,0.028288059579
1663308000,2022-09-16 06:00:00,EWT/BTC,0.0002003,0.0002009,0.0001991,0.00020008,394.6116,0.078952144415
1663304400,2022-09-16 05:00:00,EWT/BTC,0.00020087,0.00020176,0.00020011,0.00020035,519.5424,0.104431728397
1663300800,2022-09-16 04:00:00,EWT/BTC,0.00020355,0.00020359,0.00020087,0.00020087,1193.795,0.241450354463
1663297200,2022-09-16 03:00:00,EWT/BTC,0.00020352,0.00020463,0.00020323,0.00020355,1084.36,0.221122449654
1663293600,2022-09-16 02:00:00,EWT/BTC,0.00020349,0.00020422,0.00020304,0.00020352,484.56,0.098723881887
