https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR,tradecount
1663545600000,2022-09-19 00:00:00,ETH/EUR,1332.66000000,1338.14000000,1330.01000000,1331.30000000,608.95040000,811857.40635400,1862
1663542000000,2022-09-18 23:00:00,ETH/EUR,1339.37000000,1354.05000000,1328.03000000,1332.52000000,1823.75950000,2444418.23043400,4212
1663538400000,2022-09-18 22:00:00,ETH/EUR,1333.00000000,1342.00000000,1327.40000000,1339.27000000,1975.20140000,2636300.88394900,4926
1663534800000,2022-09-18 21:00:00,ETH/EUR,1371.17000000,1371.61000000,1325.31000000,1334.16000000,2873.12200000,3855988.67198900,8056
1663531200000,2022-09-18 20:00:00,ETH/EUR,1380.15000000,1381.00000000,1366.60000000,1371.16000000,1398.59230000,1923697.82832400,3149
1663527600000,2022-09-18 19:00:00,ETH/EUR,1373.45000000,1385.87000000,1367.54000000,1380.19000000,1684.89490000,2323368.24898700,3491
1663524000000,2022-09-18 18:00:00,ETH/EUR,1376.38000000,1386.00000000,1366.00000000,1373.65000000,2215.71190000,3050005.61394000,5155
1663520400000,2022-09-18 17:00:00,ETH/EUR,1395.44000000,1397.12000000,1371.71000000,1377.06000000,2323.70250000,3221247.85676700,5448
1663516800000,2022-09-18 16:00:00,ETH/EUR,1416.48000000,1423.56000000,1385.99000000,1395.58000000,3021.52530000,4228965.39314500,8917
1663513200000,2022-09-18 15:00:00,ETH/EUR,1419.49000000,1425.32000000,1411.08000000,1416.48000000,1225.44830000,1739935.90908900,2855
1663509600000,2022-09-18 14:00:00,ETH/EUR,1434.08000000,1434.72000000,1407.22000000,1419.89000000,1853.89950000,2634464.93464300,4454
1663506000000,2022-09-18 13:00:00,ETH/EUR,1437.24000000,1438.38000000,1431.06000000,1433.82000000,1058.52770000,1518897.38674200,2166
1663502400000,2022-09-18 12:00:00,ETH/EUR,1433.04000000,1438.93000000,1425.14000000,1437.05000000,1259.17780000,1802607.61437000,2497
1663498800000,2022-09-18 11:00:00,ETH/EUR,1431.27000000,1434.55000000,1430.12000000,1433.36000000,1050.53540000,1504844.58269900,1880
