https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT
1663462800,2022-09-18 01:00:00,NEO/USDT,9.02,9.0277,9.015,9.0232,10.17692949,91.844461798873
1663459200,2022-09-18 00:00:00,NEO/USDT,9.079,9.0848,9.0057,9.0183,572.84664096,5175.492799878708
1663455600,2022-09-17 23:00:00,NEO/USDT,9.0524,9.1139,9.0524,9.0753,341.93981178,3105.117711843526
1663452000,2022-09-17 22:00:00,NEO/USDT,9.0252,9.0606,9.0211,9.0591,590.245996,5335.3001235479
1663448400,2022-09-17 21:00:00,NEO/USDT,9.053,9.0572,9.0007,9.0232,318.07824415,2872.160864913255
1663444800,2022-09-17 20:00:00,NEO/USDT,9.0103,9.0531,8.996,9.0531,306.045998,2760.9762546807
1663441200,2022-09-17 19:00:00,NEO/USDT,9.0275,9.0357,8.9864,9.0103,304.41539397,2741.877115869416
1663437600,2022-09-17 18:00:00,NEO/USDT,9.0477,9.0611,9.0224,9.029,824.33855319,7450.573394851613
1663434000,2022-09-17 17:00:00,NEO/USDT,9.0629,9.1,9.0285,9.0476,419.24787725,3797.522380869148
1663430400,2022-09-17 16:00:00,NEO/USDT,9.0276,9.092,9.0276,9.0608,619.60813668,5619.042116946763
1663426800,2022-09-17 15:00:00,NEO/USDT,9.0354,9.0469,9.0028,9.0296,498.723259,4500.5882885911
1663423200,2022-09-17 14:00:00,NEO/USDT,8.9664,9.063,8.9664,9.0341,743.29536434,6705.468555380286
1663419600,2022-09-17 13:00:00,NEO/USDT,8.9472,8.9696,8.9344,8.9577,135.922259,1216.7835069133
1663416000,2022-09-17 12:00:00,NEO/USDT,8.9288,8.9544,8.8632,8.9448,259.88283049,2316.973961833821
1663412400,2022-09-17 11:00:00,NEO/USDT,8.9336,8.9512,8.9232,8.9328,367.114513,3280.8346075293
1663408800,2022-09-17 10:00:00,NEO/USDT,8.9784,8.9856,8.9028,8.9336,551.907989,4934.5533911132
1663405200,2022-09-17 09:00:00,NEO/USDT,8.984,8.9952,8.9639,8.975,50.30982,451.7647751174
1663401600,2022-09-17 08:00:00,NEO/USDT,8.9784,9.0031,8.9784,8.9875,110.50393897,992.941704625807
1663398000,2022-09-17 07:00:00,NEO/USDT,8.9711,8.98,8.9195,8.976,630.837334,5647.5029511117
1663394400,2022-09-17 06:00:00,NEO/USDT,8.9354,8.988,8.929,8.968,293.50185391,2630.590058325488
1663390800,2022-09-17 05:00:00,NEO/USDT,9.0027,9.0027,8.8699,8.931,1316.53318084,11752.05807957943
1663387200,2022-09-17 04:00:00,NEO/USDT,9.0739,9.1034,8.98,8.9929,848.08131551,7662.56441031849
1663383600,2022-09-17 03:00:00,NEO/USDT,9.0333,9.0748,9.0333,9.0748,313.67500735,2839.65685833791
1663380000,2022-09-17 02:00:00,NEO/USDT,9.0672,9.0789,9.0313,9.033,135.58787948,1226.649857639872
1663376400,2022-09-17 01:00:00,NEO/USDT,9.0415,9.0961,9.0415,9.0671,361.760801,3279.3307792496
1663372800,2022-09-17 00:00:00,NEO/USDT,8.9956,9.11,8.9849,9.0341,1007.92612817,9116.908761240178
1663369200,2022-09-16 23:00:00,NEO/USDT,8.9709,9.0075,8.9709,9.0011,467.85027084,4204.541840245577
1663365600,2022-09-16 22:00:00,NEO/USDT,9.0045,9.0282,8.9726,8.9726,382.16823,3441.270636555
1663362000,2022-09-16 21:00:00,NEO/USDT,8.9872,9.0387,8.9796,9.0103,403.660636,3638.5471541988
1663358400,2022-09-16 20:00:00,NEO/USDT,8.9063,8.9945,8.8978,8.9945,822.548641,7361.6964605161
1663354800,2022-09-16 19:00:00,NEO/USDT,8.8418,8.92,8.841,8.9063,643.71868246,5720.645189656296
1663351200,2022-09-16 18:00:00,NEO/USDT,8.8162,8.8724,8.7696,8.8424,368.152684,3249.3903776883
1663347600,2022-09-16 17:00:00,NEO/USDT,8.8037,8.8486,8.74,8.8159,633.02136728,5562.368937302619
1663344000,2022-09-16 16:00:00,NEO/USDT,8.8751,8.8751,8.7382,8.8092,1331.38839841,11723.156505826798
1663340400,2022-09-16 15:00:00,NEO/USDT,8.8507,8.9196,8.8345,8.8755,339.20300313,3012.160571656635
1663336800,2022-09-16 14:00:00,NEO/USDT,8.7845,8.9146,8.7659,8.8559,486.90237028,4307.448212854235
1663333200,2022-09-16 13:00:00,NEO/USDT,8.851,8.8898,8.7469,8.7675,615.86019145,5440.767102259992
1663329600,2022-09-16 12:00:00,NEO/USDT,8.9926,8.9926,8.8437,8.8508,961.87104662,8580.544009479118
1663326000,2022-09-16 11:00:00,NEO/USDT,8.9403,8.9973,8.9312,8.9916,246.88339,2216.027240721
1663322400,2022-09-16 10:00:00,NEO/USDT,8.901,8.9706,8.8676,8.9419,660.07562278,5888.072098175347
1663318800,2022-09-16 09:00:00,NEO/USDT,8.8765,8.9349,8.8701,8.9019,577.47351689,5140.712585555046
1663315200,2022-09-16 08:00:00,NEO/USDT,9.0329,9.0403,8.86,8.8771,1059.25460529,9494.30322156446
1663311600,2022-09-16 07:00:00,NEO/USDT,9.0851,9.117,9.0301,9.0326,386.55827135,3509.319047819634
1663308000,2022-09-16 06:00:00,NEO/USDT,9.1263,9.1436,9.0737,9.0832,186.95975566,1705.269196857088
1663304400,2022-09-16 05:00:00,NEO/USDT,9.1436,9.171,9.1237,9.1246,246.64249109,2255.133379354192
1663300800,2022-09-16 04:00:00,NEO/USDT,9.1591,9.2107,9.1401,9.1433,1139.75093994,10464.045225410429
