https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TEL,Volume USDT
1663459200,2022-09-18 00:00:00,TEL/USDT,0.00144937,0.00144937,0.00144192,0.00144874,3697882.8089,5343.207085621784
1663372800,2022-09-17 00:00:00,TEL/USDT,0.00143062,0.00145592,0.00140011,0.00144875,106570498.2801,152808.707993849392
1663286400,2022-09-16 00:00:00,TEL/USDT,0.00144724,0.001458,0.0014007,0.00142442,160392189.7876,229082.124836503188
1663200000,2022-09-15 00:00:00,TEL/USDT,0.00149372,0.00150317,0.00141565,0.00144691,159223170.2329,232209.03714270144
1663113600,2022-09-14 00:00:00,TEL/USDT,0.00147508,0.00152498,0.00146522,0.00149372,157922152.181,236265.843389081367
1663027200,2022-09-13 00:00:00,TEL/USDT,0.001522,0.001574,0.00146,0.0014752,258318160.87264535,388473.480015335933107
1662940800,2022-09-12 00:00:00,TEL/USDT,0.00153272,0.00155952,0.00150034,0.00152317,148027418.4224,226771.325435032744
1662854400,2022-09-11 00:00:00,TEL/USDT,0.00153386,0.00155359,0.00151553,0.00153384,101459419.3515,155722.135076345458
1662768000,2022-09-10 00:00:00,TEL/USDT,0.0015267,0.00154056,0.00151,0.00152723,146508936.931,222989.244172436944
1662681600,2022-09-09 00:00:00,TEL/USDT,0.00149523,0.001564,0.00148001,0.0015295,216671344.9281,332090.928855806292
1662595200,2022-09-08 00:00:00,TEL/USDT,0.00151337,0.00152737,0.00148,0.00149388,160926167.1637,241886.717691670996
1662508800,2022-09-07 00:00:00,TEL/USDT,0.00149431,0.0015345,0.00146,0.00150779,291030476.2245,433468.191196812386
1662422400,2022-09-06 00:00:00,TEL/USDT,0.00154273,0.001574,0.00148501,0.0014951,213838986.01916775,327059.16280226830273
1662336000,2022-09-05 00:00:00,TEL/USDT,0.00157262,0.00158085,0.00152512,0.001536,128256165.8681,198570.389656762247
1662249600,2022-09-04 00:00:00,TEL/USDT,0.00153098,0.001587,0.00151609,0.00156758,110461828.5194,171242.474639736723
1662163200,2022-09-03 00:00:00,TEL/USDT,0.00153427,0.00155,0.001516,0.00152927,64059876.2517,98271.944988528572
1662076800,2022-09-02 00:00:00,TEL/USDT,0.00155342,0.00157199,0.00152,0.00153096,117230044.3177,181121.513361301514
1661990400,2022-09-01 00:00:00,TEL/USDT,0.00155211,0.001578,0.00151,0.00155362,200077790.8885,308204.091701167631
1661904000,2022-08-31 00:00:00,TEL/USDT,0.00155811,0.0016126,0.001545,0.00155631,130330901.11771109,205164.0945345717898883
1661817600,2022-08-30 00:00:00,TEL/USDT,0.0015875,0.001623,0.0015268,0.00155154,173267901.93458367,273761.2536104470910765
1661731200,2022-08-29 00:00:00,TEL/USDT,0.00152144,0.0015985,0.0015,0.0015905,146050381.87961004,228301.882154575102372
1661644800,2022-08-28 00:00:00,TEL/USDT,0.00153646,0.001569,0.00151011,0.00151749,110890565.88263104,171058.9802314504767727
1661558400,2022-08-27 00:00:00,TEL/USDT,0.00153427,0.0015845,0.00150681,0.00153641,199180572.79604085,306680.5410590616468727
1661472000,2022-08-26 00:00:00,TEL/USDT,0.00166115,0.0016845,0.00152292,0.00153427,226352869.94343824,364569.110296606071632
1661385600,2022-08-25 00:00:00,TEL/USDT,0.00162153,0.00167998,0.00161,0.00166141,158675458.59861162,262555.3589124552948551
1661299200,2022-08-24 00:00:00,TEL/USDT,0.00162976,0.00168,0.00159,0.00162153,170407651.83472539,278747.1861236367827217
1661212800,2022-08-23 00:00:00,TEL/USDT,0.00158769,0.001642,0.001556,0.00162674,138597149.47193756,222260.7774025624835941
1661126400,2022-08-22 00:00:00,TEL/USDT,0.00158651,0.00160968,0.00152844,0.00159589,212237657.00007012,333360.7457172191899567
1661040000,2022-08-21 00:00:00,TEL/USDT,0.00154203,0.00161306,0.00151265,0.001585,178249370.52745167,279832.6349893183780649
1660953600,2022-08-20 00:00:00,TEL/USDT,0.00153307,0.00159899,0.001497,0.00154203,276176710.54312173,428132.8743006059577191
1660867200,2022-08-19 00:00:00,TEL/USDT,0.00171026,0.00171546,0.00151175,0.00153,494874945.71150258,791428.0328252624692889
1660780800,2022-08-18 00:00:00,TEL/USDT,0.00171196,0.00177488,0.0017,0.00171,187015173.92965059,325661.2655311217067399
1660694400,2022-08-17 00:00:00,TEL/USDT,0.00175743,0.0018378,0.00169981,0.00171142,317384657.97554096,554582.6670721334628826
1660608000,2022-08-16 00:00:00,TEL/USDT,0.00184917,0.00185884,0.00173889,0.00176479,271653724.41017522,487644.8079445506068724
1660521600,2022-08-15 00:00:00,TEL/USDT,0.00183385,0.00190984,0.00179562,0.00184732,395358986.46565772,727518.7595715070183112
1660435200,2022-08-14 00:00:00,TEL/USDT,0.00198694,0.00200228,0.001787,0.00182975,494956033.42093083,933937.8765894708884937
1660348800,2022-08-13 00:00:00,TEL/USDT,0.00190344,0.0021,0.00187187,0.00199239,786616328.83202007,1557148.2599580146887292
