https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume BTC
1663459200,2022-09-18 00:00:00,STORJ/BTC,0.00002528,0.00002539,0.00002519,0.00002519,2.2057,0.000055927289
1663372800,2022-09-17 00:00:00,STORJ/BTC,0.00002519,0.00002544,0.00002501,0.00002542,1339.1695,0.033809884921
1663286400,2022-09-16 00:00:00,STORJ/BTC,0.00002456,0.00002577,0.00002402,0.00002515,3389.5108,0.085156709873
1663200000,2022-09-15 00:00:00,STORJ/BTC,0.00002543,0.00002549,0.00002458,0.00002469,2870.2192,0.071827043622
1663113600,2022-09-14 00:00:00,STORJ/BTC,0.00002521,0.00002581,0.0000249,0.00002568,5295.8582,0.135423625424
1663027200,2022-09-13 00:00:00,STORJ/BTC,0.00002509,0.00002571,0.00002446,0.00002529,1644.0885,0.04153446608
1662940800,2022-09-12 00:00:00,STORJ/BTC,0.00002559,0.00002634,0.00002487,0.00002538,3785.9908,0.096699567338
1662854400,2022-09-11 00:00:00,STORJ/BTC,0.00002585,0.00002657,0.00002528,0.00002528,10900.8446,0.279604779143
1662768000,2022-09-10 00:00:00,STORJ/BTC,0.00002614,0.00002666,0.00002553,0.00002555,1836.8231,0.047776777719
1662681600,2022-09-09 00:00:00,STORJ/BTC,0.00002731,0.00002756,0.00002573,0.00002602,2844.4496,0.074856452391
1662595200,2022-09-08 00:00:00,STORJ/BTC,0.00002674,0.00002795,0.00002649,0.0000274,1398.4907,0.03803213701
1662508800,2022-09-07 00:00:00,STORJ/BTC,0.00002669,0.00002709,0.00002608,0.00002681,1032.5091,0.027405378297
1662422400,2022-09-06 00:00:00,STORJ/BTC,0.00002802,0.00002818,0.00002663,0.00002667,1500.8158,0.041162728696
1662336000,2022-09-05 00:00:00,STORJ/BTC,0.00002775,0.000028,0.00002733,0.00002796,3663.3886,0.10115030968
1662249600,2022-09-04 00:00:00,STORJ/BTC,0.0000274,0.00002845,0.00002735,0.00002762,1209.8061,0.033789476119
1662163200,2022-09-03 00:00:00,STORJ/BTC,0.00002697,0.00002749,0.00002683,0.00002747,396.102,0.01077997298
1662076800,2022-09-02 00:00:00,STORJ/BTC,0.00002728,0.00002734,0.00002684,0.00002706,187.2962,0.005079338604
1661990400,2022-09-01 00:00:00,STORJ/BTC,0.00002749,0.00002757,0.00002678,0.00002726,1220.7446,0.032993373508
1661904000,2022-08-31 00:00:00,STORJ/BTC,0.00002762,0.00002789,0.00002709,0.00002739,1826.1245,0.050282543017
1661817600,2022-08-30 00:00:00,STORJ/BTC,0.00002719,0.00002766,0.0000268,0.00002717,2435.2396,0.066438940001
1661731200,2022-08-29 00:00:00,STORJ/BTC,0.00002674,0.00002726,0.00002643,0.00002726,566.2857,0.015154983965
1661644800,2022-08-28 00:00:00,STORJ/BTC,0.00002713,0.00002779,0.00002677,0.00002702,1279.7545,0.034984942087
1661558400,2022-08-27 00:00:00,STORJ/BTC,0.00002735,0.0000276,0.00002662,0.0000272,2149.1752,0.058044287734
1661472000,2022-08-26 00:00:00,STORJ/BTC,0.00002826,0.00002949,0.0000273,0.00002759,4406.0467,0.125021526643
1661385600,2022-08-25 00:00:00,STORJ/BTC,0.00002743,0.00002987,0.00002733,0.00002826,8864.7344,0.252983142967
1661299200,2022-08-24 00:00:00,STORJ/BTC,0.00002659,0.00002853,0.00002658,0.00002746,8534.3697,0.236356144643
1661212800,2022-08-23 00:00:00,STORJ/BTC,0.000027,0.000027,0.0000262,0.00002662,824.45,0.022092273665
