https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC
1663545600,2022-09-19 00:00:00,XLM/BTC,0.00000552,0.00000552,0.00000552,0.00000552,0.00000000,0.0
1663542000,2022-09-18 23:00:00,XLM/BTC,0.00000555,0.00000556,0.00000552,0.00000552,16129.90755973,0.0890370897297096
1663538400,2022-09-18 22:00:00,XLM/BTC,0.00000552,0.00000554,0.00000552,0.00000554,6600.00000000,0.036564
1663534800,2022-09-18 21:00:00,XLM/BTC,0.00000577,0.00000577,0.00000567,0.00000567,25308.43923842,0.1434988504818414
1663531200,2022-09-18 20:00:00,XLM/BTC,0.00000580,0.00000583,0.00000578,0.00000578,21375.19875185,0.123548648785693
1663527600,2022-09-18 19:00:00,XLM/BTC,0.00000582,0.00000584,0.00000580,0.00000580,20427.03577091,0.118476807471278
1663524000,2022-09-18 18:00:00,XLM/BTC,0.00000574,0.00000582,0.00000574,0.00000582,36362.85812734,0.2116318343011188
1663520400,2022-09-18 17:00:00,XLM/BTC,0.00000570,0.00000574,0.00000568,0.00000574,16450.00000000,0.094423
1663516800,2022-09-18 16:00:00,XLM/BTC,0.00000567,0.00000569,0.00000565,0.00000569,18871.00297240,0.107376006912956
1663513200,2022-09-18 15:00:00,XLM/BTC,0.00000565,0.00000568,0.00000565,0.00000567,14453.98230089,0.0819540796460463
1663509600,2022-09-18 14:00:00,XLM/BTC,0.00000563,0.00000564,0.00000561,0.00000564,16058.99205000,0.09057271516200001
1663506000,2022-09-18 13:00:00,XLM/BTC,0.00000562,0.00000565,0.00000562,0.00000563,11772.00489040,0.06627638753295201
1663502400,2022-09-18 12:00:00,XLM/BTC,0.00000562,0.00000563,0.00000561,0.00000562,16450.00000000,0.092449
1663498800,2022-09-18 11:00:00,XLM/BTC,0.00000564,0.00000564,0.00000563,0.00000563,7050.00000000,0.039691500000000005
1663495200,2022-09-18 10:00:00,XLM/BTC,0.00000569,0.00000569,0.00000563,0.00000563,23500.00000000,0.132305
1663491600,2022-09-18 09:00:00,XLM/BTC,0.00000570,0.00000576,0.00000569,0.00000569,68450.00000000,0.3894805
1663488000,2022-09-18 08:00:00,XLM/BTC,0.00000568,0.00000571,0.00000566,0.00000569,19021.67948717,0.1082333562819973
1663484400,2022-09-18 07:00:00,XLM/BTC,0.00000554,0.00000569,0.00000554,0.00000569,47000.00000000,0.26743
1663480800,2022-09-18 06:00:00,XLM/BTC,0.00000553,0.00000554,0.00000553,0.00000554,9851.37010208,0.0545765903655232
1663477200,2022-09-18 05:00:00,XLM/BTC,0.00000553,0.00000553,0.00000553,0.00000553,2350.00000000,0.012995500000000002
1663473600,2022-09-18 04:00:00,XLM/BTC,0.00000554,0.00000555,0.00000554,0.00000554,9400.00000000,0.052076000000000004
1663470000,2022-09-18 03:00:00,XLM/BTC,0.00000553,0.00000553,0.00000553,0.00000553,2350.00000000,0.012995500000000002
1663466400,2022-09-18 02:00:00,XLM/BTC,0.00000558,0.00000558,0.00000557,0.00000557,4700.00000000,0.026179
1663462800,2022-09-18 01:00:00,XLM/BTC,0.00000558,0.00000561,0.00000558,0.00000559,18800.00000000,0.10509199999999999
1663459200,2022-09-18 00:00:00,XLM/BTC,0.00000564,0.00000564,0.00000559,0.00000559,17675.65432881,0.0988069076980479
1663455600,2022-09-17 23:00:00,XLM/BTC,0.00000564,0.00000564,0.00000564,0.00000564,4700.00000000,0.026508
1663452000,2022-09-17 22:00:00,XLM/BTC,0.00000564,0.00000564,0.00000564,0.00000564,2350.00000000,0.013254
1663448400,2022-09-17 21:00:00,XLM/BTC,0.00000560,0.00000569,0.00000560,0.00000569,29485.12869459,0.16777038227221708
1663444800,2022-09-17 20:00:00,XLM/BTC,0.00000561,0.00000562,0.00000559,0.00000559,14700.00000000,0.082173
1663441200,2022-09-17 19:00:00,XLM/BTC,0.00000562,0.00000563,0.00000559,0.00000560,44600.00000000,0.24975999999999998
1663437600,2022-09-17 18:00:00,XLM/BTC,0.00000560,0.00000561,0.00000559,0.00000561,18932.47779764,0.10621120044476039
1663434000,2022-09-17 17:00:00,XLM/BTC,0.00000554,0.00000560,0.00000554,0.00000560,17149.99999060,0.09603999994736
1663430400,2022-09-17 16:00:00,XLM/BTC,0.00000556,0.00000557,0.00000553,0.00000553,17150.00000000,0.09483950000000001
1663426800,2022-09-17 15:00:00,XLM/BTC,0.00000557,0.00000557,0.00000555,0.00000555,12250.00000000,0.0679875
