https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATA,Volume BTC
1663462800,2022-09-18 01:00:00,ATA/BTC,0.00000737,0.00000739,0.00000737,0.00000739,13.1851,0.000097360372
1663459200,2022-09-18 00:00:00,ATA/BTC,0.00000732,0.00000732,0.00000732,0.00000732,0,0
1663455600,2022-09-17 23:00:00,ATA/BTC,0.00000732,0.00000732,0.00000732,0.00000732,12.2351,0.000089560932
1663452000,2022-09-17 22:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663448400,2022-09-17 21:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663444800,2022-09-17 20:00:00,ATA/BTC,0.00000735,0.00000736,0.00000735,0.00000736,11.4405,0.000084128574
1663441200,2022-09-17 19:00:00,ATA/BTC,0.0000073,0.0000073,0.00000728,0.00000728,165.9005,0.001207902652
1663437600,2022-09-17 18:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663434000,2022-09-17 17:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663430400,2022-09-17 16:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663426800,2022-09-17 15:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663423200,2022-09-17 14:00:00,ATA/BTC,0.00000736,0.00000736,0.00000736,0.00000736,0,0
1663419600,2022-09-17 13:00:00,ATA/BTC,0.00000735,0.00000736,0.00000735,0.00000736,16.2249,0.000119341758
1663416000,2022-09-17 12:00:00,ATA/BTC,0.0000073,0.00000734,0.00000729,0.00000729,35.7381,0.000261442471
1663412400,2022-09-17 11:00:00,ATA/BTC,0.00000728,0.00000728,0.00000728,0.00000728,0,0
1663408800,2022-09-17 10:00:00,ATA/BTC,0.00000728,0.00000728,0.00000728,0.00000728,0,0
1663405200,2022-09-17 09:00:00,ATA/BTC,0.00000728,0.00000728,0.00000728,0.00000728,28.6608,0.000208650624
1663401600,2022-09-17 08:00:00,ATA/BTC,0.00000723,0.00000723,0.00000723,0.00000723,0,0
1663398000,2022-09-17 07:00:00,ATA/BTC,0.00000723,0.00000723,0.00000723,0.00000723,0,0
1663394400,2022-09-17 06:00:00,ATA/BTC,0.00000728,0.00000728,0.00000723,0.00000723,694,0.00503497
1663390800,2022-09-17 05:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,0,0
1663387200,2022-09-17 04:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,0,0
1663383600,2022-09-17 03:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,0,0
1663380000,2022-09-17 02:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,0,0
1663376400,2022-09-17 01:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,0,0
1663372800,2022-09-17 00:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,6.0943,0.000044183675
1663369200,2022-09-16 23:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663365600,2022-09-16 22:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663362000,2022-09-16 21:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663358400,2022-09-16 20:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,4.0586,0.000029465436
1663354800,2022-09-16 19:00:00,ATA/BTC,0.00000724,0.00000724,0.00000723,0.00000723,9.1642,0.000066257167
1663351200,2022-09-16 18:00:00,ATA/BTC,0.00000724,0.00000724,0.00000724,0.00000724,0,0
1663347600,2022-09-16 17:00:00,ATA/BTC,0.00000724,0.00000724,0.00000724,0.00000724,0,0
1663344000,2022-09-16 16:00:00,ATA/BTC,0.00000727,0.00000727,0.00000724,0.00000724,26.7635,0.000194051917
1663340400,2022-09-16 15:00:00,ATA/BTC,0.0000073,0.00000735,0.0000073,0.0000073,38628.649,0.283413466596
1663336800,2022-09-16 14:00:00,ATA/BTC,0.00000726,0.00000727,0.00000726,0.00000727,1.1062,0.000008042073
1663333200,2022-09-16 13:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663329600,2022-09-16 12:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,8.8743,0.000064427418
1663326000,2022-09-16 11:00:00,ATA/BTC,0.00000725,0.00000725,0.00000725,0.00000725,16.8563,0.000122208175
1663322400,2022-09-16 10:00:00,ATA/BTC,0.00000721,0.00000721,0.00000721,0.00000721,5.362,0.00003866002
1663318800,2022-09-16 09:00:00,ATA/BTC,0.0000072,0.0000072,0.0000072,0.0000072,0,0
1663315200,2022-09-16 08:00:00,ATA/BTC,0.00000727,0.00000727,0.0000072,0.0000072,44.0947,0.000318947427
1663311600,2022-09-16 07:00:00,ATA/BTC,0.00000731,0.00000732,0.00000731,0.00000732,34.0229,0.000248903489
1663308000,2022-09-16 06:00:00,ATA/BTC,0.0000073,0.0000073,0.0000073,0.0000073,7.3506,0.00005365938
1663304400,2022-09-16 05:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663300800,2022-09-16 04:00:00,ATA/BTC,0.00000726,0.00000726,0.00000726,0.00000726,0,0
1663297200,2022-09-16 03:00:00,ATA/BTC,0.00000729,0.00000729,0.00000726,0.00000726,2942.0579,0.021359935704
1663293600,2022-09-16 02:00:00,ATA/BTC,0.0000073,0.0000073,0.00000724,0.00000724,15.5203,0.00011257765
1663290000,2022-09-16 01:00:00,ATA/BTC,0.00000732,0.00000732,0.0000073,0.0000073,16.7828,0.000122703085
1663286400,2022-09-16 00:00:00,ATA/BTC,0.00000731,0.00000821,0.00000731,0.00000731,4915.9275,0.036462024576
