https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume NEAR
1663549200000,2022-09-19 01:00:00,NEAR/BTC,0.00020802,0.00021376,0.00020641,0.00021129,0.0008747405999999999,4.14
1663545600000,2022-09-19 00:00:00,NEAR/BTC,0.00021136,0.00021662,0.00020421,0.00020627,0.0042603567700107,20.65427241
1663542000000,2022-09-18 23:00:00,NEAR/BTC,0.00020465,0.00021405,0.00020382,0.00021054,0.0024885828,11.82
1663538400000,2022-09-18 22:00:00,NEAR/BTC,0.00020526,0.00021605,0.00020383,0.000205,0.0038841763956499998,18.94720193
1663534800000,2022-09-18 21:00:00,NEAR/BTC,0.00020909,0.00023199,0.00020099,0.00020587,0.0306285970850818,148.77639814
1663531200000,2022-09-18 20:00:00,NEAR/BTC,0.00021293,0.00021293,0.00020839,0.00020911,0.0023294854,11.14
1663527600000,2022-09-18 19:00:00,NEAR/BTC,0.0002112,0.00021506,0.00020965,0.00021225,0.0032597205045375,15.35792935
1663524000000,2022-09-18 18:00:00,NEAR/BTC,0.00021262,0.00021396,0.00021059,0.00021105,0.0029966935471200003,14.1989744
1663520400000,2022-09-18 17:00:00,NEAR/BTC,0.00021358,0.00021524,0.00021236,0.00021346,0.0026127504,12.24
1663516800000,2022-09-18 16:00:00,NEAR/BTC,0.00021591,0.0002235,0.00021238,0.00021356,0.0026566864,12.44
1663513200000,2022-09-18 15:00:00,NEAR/BTC,0.00021334,0.00021628,0.00021284,0.00021494,0.002923184,13.6
1663509600000,2022-09-18 14:00:00,NEAR/BTC,0.00021577,0.000217,0.00021257,0.00021257,0.0025317087,11.91
1663506000000,2022-09-18 13:00:00,NEAR/BTC,0.00021738,0.00021738,0.00021337,0.00021637,0.0026786606,12.38
1663502400000,2022-09-18 12:00:00,NEAR/BTC,0.00021676,0.00021738,0.00021463,0.00021644,0.0028288708,13.07
1663498800000,2022-09-18 11:00:00,NEAR/BTC,0.00021603,0.00021841,0.00021593,0.00021678,0.0030175776,13.92
1663495200000,2022-09-18 10:00:00,NEAR/BTC,0.00021629,0.00021852,0.0002148,0.0002173,0.002707558,12.46
1663491600000,2022-09-18 09:00:00,NEAR/BTC,0.00021878,0.00021951,0.00021544,0.00021544,0.031407586403368,145.7834497
1663488000000,2022-09-18 08:00:00,NEAR/BTC,0.00021751,0.00021978,0.00021751,0.00021877,0.0029818351,13.63
1663484400000,2022-09-18 07:00:00,NEAR/BTC,0.00021754,0.00021805,0.00021748,0.0002178,0.002819521728144,12.94546248
1663480800000,2022-09-18 06:00:00,NEAR/BTC,0.00021747,0.00021859,0.00021736,0.00021767,0.002699108,12.4
1663477200000,2022-09-18 05:00:00,NEAR/BTC,0.00021736,0.0002188,0.00021736,0.0002174,0.002730544,12.56
1663473600000,2022-09-18 04:00:00,NEAR/BTC,0.0002166,0.00021771,0.00021652,0.00021749,0.0027773473,12.77
1663470000000,2022-09-18 03:00:00,NEAR/BTC,0.00021731,0.00021755,0.0002165,0.00021666,0.0027754146,12.81
1663466400000,2022-09-18 02:00:00,NEAR/BTC,0.00021883,0.00021907,0.00021706,0.00021731,0.0028967423,13.33
1663462800000,2022-09-18 01:00:00,NEAR/BTC,0.00021794,0.00021912,0.0002174,0.00021912,0.0026581322148216,12.13094293
1663459200000,2022-09-18 00:00:00,NEAR/BTC,0.00021785,0.00021892,0.00021685,0.000218,0.00269666,12.37
1663455600000,2022-09-17 23:00:00,NEAR/BTC,0.00021787,0.00021802,0.00021729,0.00021763,0.0024418086,11.22
1663452000000,2022-09-17 22:00:00,NEAR/BTC,0.00021647,0.0002178,0.00021619,0.00021769,0.0031194977000000004,14.33
1663448400000,2022-09-17 21:00:00,NEAR/BTC,0.00021616,0.00021743,0.00021596,0.00021646,0.0028745888,13.28
1663444800000,2022-09-17 20:00:00,NEAR/BTC,0.00021638,0.00021696,0.000216,0.00021604,0.0032362792,14.98
1663441200000,2022-09-17 19:00:00,NEAR/BTC,0.00021508,0.00021638,0.00021508,0.00021621,0.0037975320351122995,17.56409063
1663437600000,2022-09-17 18:00:00,NEAR/BTC,0.00021657,0.00021681,0.00021473,0.00021539,0.0028151473,13.07
1663434000000,2022-09-17 17:00:00,NEAR/BTC,0.00021593,0.00021709,0.00021593,0.00021642,0.0027506982000000003,12.71
1663430400000,2022-09-17 16:00:00,NEAR/BTC,0.00021583,0.00021663,0.00021483,0.0002158,0.0026845519999999998,12.44
1663426800000,2022-09-17 15:00:00,NEAR/BTC,0.0002167,0.00021759,0.0002156,0.00021584,0.0027908112,12.93
1663423200000,2022-09-17 14:00:00,NEAR/BTC,0.00021506,0.00021748,0.00021503,0.0002164,0.002763428,12.77
1663419600000,2022-09-17 13:00:00,NEAR/BTC,0.00021549,0.00021611,0.00021493,0.00021502,0.0031435924,14.62
1663416000000,2022-09-17 12:00:00,NEAR/BTC,0.00021547,0.00021572,0.00021472,0.00021561,0.0028331154000000003,13.14
1663412400000,2022-09-17 11:00:00,NEAR/BTC,0.00021511,0.00021557,0.00021481,0.00021544,0.0032143648,14.92
1663408800000,2022-09-17 10:00:00,NEAR/BTC,0.0002155,0.00021658,0.0002148,0.00021511,0.0027125370999999997,12.61
1663405200000,2022-09-17 09:00:00,NEAR/BTC,0.00021751,0.00021751,0.00021534,0.00021571,0.0030479823000000004,14.13
1663401600000,2022-09-17 08:00:00,NEAR/BTC,0.0002154,0.00021734,0.00021482,0.00021705,0.0023992640387355,11.05396931
1663398000000,2022-09-17 07:00:00,NEAR/BTC,0.00021484,0.00021534,0.00021467,0.00021534,0.0027498918,12.77
1663394400000,2022-09-17 06:00:00,NEAR/BTC,0.00021387,0.00021498,0.00021386,0.00021498,0.0027474444,12.78
1663390800000,2022-09-17 05:00:00,NEAR/BTC,0.00021407,0.00021435,0.00021322,0.00021401,0.0028484731,13.31
1663387200000,2022-09-17 04:00:00,NEAR/BTC,0.00021392,0.00021466,0.00021377,0.00021377,0.002640948419791,12.3541583
1663383600000,2022-09-17 03:00:00,NEAR/BTC,0.00021436,0.00021458,0.00021356,0.00021362,0.0025826658,12.09
1663380000000,2022-09-17 02:00:00,NEAR/BTC,0.00021376,0.00021509,0.00021333,0.00021426,0.0026054016,12.16
1663376400000,2022-09-17 01:00:00,NEAR/BTC,0.00021282,0.00021365,0.00021224,0.00021351,0.0027649544999999998,12.95
1663372800000,2022-09-17 00:00:00,NEAR/BTC,0.00021252,0.00021458,0.00021227,0.00021254,0.0023889496,11.24
1663369200000,2022-09-16 23:00:00,NEAR/BTC,0.00021311,0.00021608,0.00021057,0.0002126,0.003308830780306,15.56364431
1663365600000,2022-09-16 22:00:00,NEAR/BTC,0.00021403,0.00021506,0.000212,0.00021255,0.0025739804999999998,12.11
1663362000000,2022-09-16 21:00:00,NEAR/BTC,0.00021439,0.00021461,0.00021206,0.00021432,0.002979048,13.9
1663358400000,2022-09-16 20:00:00,NEAR/BTC,0.00021427,0.0002148,0.00021377,0.00021409,0.0027788797627131,12.97996059
1663354800000,2022-09-16 19:00:00,NEAR/BTC,0.00021373,0.00021486,0.00021328,0.00021453,0.0039371851615734,18.35260878
1663351200000,2022-09-16 18:00:00,NEAR/BTC,0.00021335,0.00021383,0.00021266,0.00021371,0.0026179475,12.25
1663347600000,2022-09-16 17:00:00,NEAR/BTC,0.00021205,0.00021439,0.00021051,0.00021323,0.0026534244926655,12.44395485
