Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume BTC
1605830400.0,2020-11-20,WAVESBTC,0.0003275,0.0003432,0.0003176,0.000341,6705.58,2.223
1605744000.0,2020-11-19,WAVESBTC,0.0002915,0.00033,0.0002824,0.0003275,32642.6,10.23
1605657600.0,2020-11-18,WAVESBTC,0.0002785,0.0002973,0.0002642,0.0002915,18905.95,5.225
1605571200.0,2020-11-17,WAVESBTC,0.0002939,0.0003025,0.0002689,0.0002785,39641.33,11.16
1605484800.0,2020-11-16,WAVESBTC,0.0002748,0.0003254,0.0002724,0.0002939,57581.51,17.17
1605398400.0,2020-11-15,WAVESBTC,0.0002672,0.0002756,0.0002653,0.0002748,4627.87,1.25
1605312000.0,2020-11-14,WAVESBTC,0.0002503,0.0002796,0.0002503,0.0002672,27672.12,7.443
1605225600.0,2020-11-13,WAVESBTC,0.0002394,0.000255,0.0002373,0.0002503,11982.45,2.977
1605139200.0,2020-11-12,WAVESBTC,0.0002375,0.0002467,0.0002364,0.0002394,33021.45,7.946
1605052800.0,2020-11-11,WAVESBTC,0.0002504,0.0002504,0.0002361,0.0002375,4408.89,1.061
1604966400.0,2020-11-10,WAVESBTC,0.0002475,0.0002571,0.0002434,0.0002504,4287.51,1.066
1604880000.0,2020-11-09,WAVESBTC,0.0002272,0.0002572,0.0002229,0.0002475,15021.7,3.617
1604793600.0,2020-11-08,WAVESBTC,0.0002326,0.0002337,0.0002252,0.0002272,7363.93,1.713
1604707200.0,2020-11-07,WAVESBTC,0.0002278,0.000241,0.0002254,0.0002326,10660.51,2.475
1604620800.0,2020-11-06,WAVESBTC,0.0002222,0.0002329,0.0002165,0.0002278,18455.68,4.126
1604534400.0,2020-11-05,WAVESBTC,0.0002245,0.0002314,0.0002192,0.0002222,5290.32,1.188
1604448000.0,2020-11-04,WAVESBTC,0.0002248,0.0002295,0.0002232,0.0002245,3850.51,0.8719
1604361600.0,2020-11-03,WAVESBTC,0.0002288,0.0002334,0.0002248,0.0002248,6485.39,1.478
1604275200.0,2020-11-02,WAVESBTC,0.0002339,0.0002389,0.0002282,0.0002288,6568.91,1.54
1604188800.0,2020-11-01,WAVESBTC,0.000232,0.0002361,0.0002317,0.0002339,1265.21,0.2958
1604102400.0,2020-10-31,WAVESBTC,0.0002372,0.00024,0.0002318,0.000232,3013.28,0.7084
1604016000.0,2020-10-30,WAVESBTC,0.0002238,0.0002573,0.0002221,0.0002372,9926.72,2.372
1603929600.0,2020-10-29,WAVESBTC,0.0002288,0.000237,0.0002208,0.0002238,7861.64,1.787
1603843200.0,2020-10-28,WAVESBTC,0.0002305,0.0002315,0.0002203,0.0002288,3955.31,0.8942
1603756800.0,2020-10-27,WAVESBTC,0.0002434,0.0002434,0.0002286,0.0002305,10897.46,2.574
1603670400.0,2020-10-26,WAVESBTC,0.000253,0.000253,0.00024,0.0002434,3870.38,0.9543
1603584000.0,2020-10-25,WAVESBTC,0.0002638,0.0002686,0.000253,0.000253,4597.33,1.201
1603497600.0,2020-10-24,WAVESBTC,0.000261,0.0002643,0.0002566,0.0002638,4571.96,1.189
1603411200.0,2020-10-23,WAVESBTC,0.0002473,0.0002757,0.0002468,0.000261,22885.56,6.092
1603324800.0,2020-10-22,WAVESBTC,0.0002426,0.0002532,0.0002388,0.0002473,7530.0,1.849
1603238400.0,2020-10-21,WAVESBTC,0.0002399,0.000257,0.0002357,0.0002426,16692.46,4.077
1603152000.0,2020-10-20,WAVESBTC,0.0002518,0.0002518,0.0002358,0.0002399,22285.57,5.353
