https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume EUR
1663545600,2022-09-19 00:00:00,AAVE/EUR,73.37,73.37,73.37,73.37,0.00000000,0.0
1663542000,2022-09-18 23:00:00,AAVE/EUR,74.07,74.14,73.37,73.37,19.01448543,1395.0927959991002
1663538400,2022-09-18 22:00:00,AAVE/EUR,72.94,72.94,72.87,72.87,1.98473712,144.6277939344
1663534800,2022-09-18 21:00:00,AAVE/EUR,75.76,75.76,70.52,73.99,84.32962206,6239.5487362194
1663531200,2022-09-18 20:00:00,AAVE/EUR,76.53,76.53,76.07,76.07,6.42775768,488.95952671759994
1663527600,2022-09-18 19:00:00,AAVE/EUR,76.98,76.98,76.98,76.98,10.00000000,769.8000000000001
1663524000,2022-09-18 18:00:00,AAVE/EUR,76.98,76.98,76.26,76.98,8.91761110,686.4777024780001
1663520400,2022-09-18 17:00:00,AAVE/EUR,77.27,77.48,76.63,76.72,5.62936732,431.8850607904
1663516800,2022-09-18 16:00:00,AAVE/EUR,77.56,77.56,76.98,77.48,19.71717522,1527.6867360456001
1663513200,2022-09-18 15:00:00,AAVE/EUR,78.48,78.48,77.80,77.80,36.07831387,2806.892819086
1663509600,2022-09-18 14:00:00,AAVE/EUR,79.40,79.40,78.00,78.00,108.75806700,8483.129226
1663506000,2022-09-18 13:00:00,AAVE/EUR,79.19,79.41,79.19,79.41,3.26521016,259.2903388056
1663502400,2022-09-18 12:00:00,AAVE/EUR,79.01,79.01,79.01,79.01,7.15894348,565.6281243548
1663498800,2022-09-18 11:00:00,AAVE/EUR,79.33,79.33,79.33,79.33,0.16000000,12.6928
1663495200,2022-09-18 10:00:00,AAVE/EUR,78.54,79.48,78.34,79.40,20.50902953,1628.4169446820001
1663491600,2022-09-18 09:00:00,AAVE/EUR,80.61,80.61,79.90,79.90,14.97432216,1196.448340584
1663488000,2022-09-18 08:00:00,AAVE/EUR,80.47,80.60,80.45,80.60,13.23966132,1067.116702392
1663484400,2022-09-18 07:00:00,AAVE/EUR,80.10,80.10,79.90,79.90,3.31738842,265.05933475800003
1663480800,2022-09-18 06:00:00,AAVE/EUR,81.22,81.22,80.64,80.64,69.64072381,5615.827968038399
1663477200,2022-09-18 05:00:00,AAVE/EUR,80.50,80.50,80.50,80.50,0.00000000,0.0
1663473600,2022-09-18 04:00:00,AAVE/EUR,80.50,80.50,80.50,80.50,0.00000000,0.0
1663470000,2022-09-18 03:00:00,AAVE/EUR,80.50,80.50,80.50,80.50,1.00000000,80.5
1663466400,2022-09-18 02:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663462800,2022-09-18 01:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663459200,2022-09-18 00:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663455600,2022-09-17 23:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663452000,2022-09-17 22:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663448400,2022-09-17 21:00:00,AAVE/EUR,80.82,80.82,80.82,80.82,0.00000000,0.0
1663444800,2022-09-17 20:00:00,AAVE/EUR,80.94,80.94,80.82,80.82,0.79200000,64.00944
1663441200,2022-09-17 19:00:00,AAVE/EUR,81.05,81.05,81.05,81.05,0.00000000,0.0
1663437600,2022-09-17 18:00:00,AAVE/EUR,81.36,81.36,81.05,81.05,1.55558919,126.0805038495
1663434000,2022-09-17 17:00:00,AAVE/EUR,81.40,81.40,80.92,80.92,3.00000000,242.76
1663430400,2022-09-17 16:00:00,AAVE/EUR,80.45,81.21,80.45,81.21,5.31740000,431.826054
1663426800,2022-09-17 15:00:00,AAVE/EUR,79.70,79.70,79.70,79.70,0.00000000,0.0
1663423200,2022-09-17 14:00:00,AAVE/EUR,79.70,79.70,79.70,79.70,0.00000000,0.0
1663419600,2022-09-17 13:00:00,AAVE/EUR,79.70,79.70,79.70,79.70,0.00000000,0.0
1663416000,2022-09-17 12:00:00,AAVE/EUR,79.57,79.70,79.57,79.70,3.92811543,313.070799771
1663412400,2022-09-17 11:00:00,AAVE/EUR,79.59,79.59,79.42,79.42,9.59266924,761.8497910407999
1663408800,2022-09-17 10:00:00,AAVE/EUR,79.48,79.48,79.48,79.48,0.00000000,0.0
1663405200,2022-09-17 09:00:00,AAVE/EUR,79.48,79.48,79.48,79.48,0.00000000,0.0
1663401600,2022-09-17 08:00:00,AAVE/EUR,79.48,79.48,79.48,79.48,0.00000000,0.0
1663398000,2022-09-17 07:00:00,AAVE/EUR,79.48,79.48,79.48,79.48,0.00000000,0.0
1663394400,2022-09-17 06:00:00,AAVE/EUR,79.48,79.48,79.48,79.48,1.00654252,79.9999994896
1663390800,2022-09-17 05:00:00,AAVE/EUR,79.30,79.30,79.30,79.30,2.16800000,171.9224
1663387200,2022-09-17 04:00:00,AAVE/EUR,80.01,80.01,80.01,80.01,0.00000000,0.0
1663383600,2022-09-17 03:00:00,AAVE/EUR,80.01,80.01,80.01,80.01,0.00000000,0.0
1663380000,2022-09-17 02:00:00,AAVE/EUR,80.01,80.01,80.01,80.01,0.16200000,12.961620000000002
1663376400,2022-09-17 01:00:00,AAVE/EUR,79.60,79.60,79.60,79.60,0.00000000,0.0
1663372800,2022-09-17 00:00:00,AAVE/EUR,80.40,80.49,79.60,79.60,2.24348078,178.581070088
1663369200,2022-09-16 23:00:00,AAVE/EUR,79.96,79.96,79.96,79.96,0.00000000,0.0
1663365600,2022-09-16 22:00:00,AAVE/EUR,79.96,79.96,79.96,79.96,0.00000000,0.0
1663362000,2022-09-16 21:00:00,AAVE/EUR,79.55,79.96,79.55,79.96,8.00577628,640.1418713487999
1663358400,2022-09-16 20:00:00,AAVE/EUR,79.45,79.45,79.45,79.45,2.16800000,172.2476
1663354800,2022-09-16 19:00:00,AAVE/EUR,78.78,78.90,78.78,78.90,1.99263772,157.219116108
1663351200,2022-09-16 18:00:00,AAVE/EUR,78.03,78.06,78.03,78.06,30.64079239,2391.8202539634003
1663347600,2022-09-16 17:00:00,AAVE/EUR,77.26,78.02,77.26,78.02,2.01980457,157.58515255139997
1663344000,2022-09-16 16:00:00,AAVE/EUR,79.17,79.17,77.51,78.49,19.49776592,1530.3796470608
1663340400,2022-09-16 15:00:00,AAVE/EUR,79.57,79.57,79.57,79.57,5.96866065,474.9263279205
1663336800,2022-09-16 14:00:00,AAVE/EUR,78.87,78.88,78.87,78.88,5.07108886,400.00748927679996
1663333200,2022-09-16 13:00:00,AAVE/EUR,79.01,79.01,78.06,78.06,15.46758903,1207.3999996818
1663329600,2022-09-16 12:00:00,AAVE/EUR,79.87,79.87,79.01,79.01,18.00000000,1422.18
1663326000,2022-09-16 11:00:00,AAVE/EUR,79.40,79.98,79.40,79.98,4.00000000,319.92
1663322400,2022-09-16 10:00:00,AAVE/EUR,78.90,78.90,78.90,78.90,1.00000000,78.9
1663318800,2022-09-16 09:00:00,AAVE/EUR,78.47,78.47,78.47,78.47,2.00000000,156.94
1663315200,2022-09-16 08:00:00,AAVE/EUR,79.10,79.10,78.01,78.01,26.38454495,2058.2583515495
1663311600,2022-09-16 07:00:00,AAVE/EUR,79.03,79.38,79.03,79.38,57.93784492,4599.1061297496
1663308000,2022-09-16 06:00:00,AAVE/EUR,78.83,78.95,78.83,78.93,1.86157782,146.9343373326
1663304400,2022-09-16 05:00:00,AAVE/EUR,79.13,79.15,79.13,79.15,16.81100000,1330.59065
1663300800,2022-09-16 04:00:00,AAVE/EUR,78.82,79.21,78.82,79.21,0.50623607,40.0989591047
