https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume BTC
1663459200,2022-09-18 00:00:00,ALPHA/BTC,0.00000572,0.00000572,0.00000572,0.00000572,1.2988,0.000007429136
1663455600,2022-09-17 23:00:00,ALPHA/BTC,0.00000577,0.00000577,0.00000577,0.00000577,220.5121,0.001272354817
1663452000,2022-09-17 22:00:00,ALPHA/BTC,0.00000575,0.00000575,0.00000575,0.00000575,0,0
1663448400,2022-09-17 21:00:00,ALPHA/BTC,0.00000575,0.00000575,0.00000575,0.00000575,0,0
1663444800,2022-09-17 20:00:00,ALPHA/BTC,0.00000575,0.00000575,0.00000575,0.00000575,0,0
1663441200,2022-09-17 19:00:00,ALPHA/BTC,0.00000571,0.00000575,0.00000571,0.00000575,668.5908,0.003817732984
1663437600,2022-09-17 18:00:00,ALPHA/BTC,0.00000571,0.00000571,0.00000571,0.00000571,1.056,0.00000602976
1663434000,2022-09-17 17:00:00,ALPHA/BTC,0.00000572,0.00000572,0.00000572,0.00000572,0,0
1663430400,2022-09-17 16:00:00,ALPHA/BTC,0.00000572,0.00000572,0.00000572,0.00000572,53.3932,0.000305409104
1663426800,2022-09-17 15:00:00,ALPHA/BTC,0.00000575,0.00000575,0.00000573,0.00000574,10.5691,0.000060726334
1663423200,2022-09-17 14:00:00,ALPHA/BTC,0.00000569,0.00000571,0.00000569,0.00000571,2.772,0.000015802952
1663419600,2022-09-17 13:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,0,0
1663416000,2022-09-17 12:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,0,0
1663412400,2022-09-17 11:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,2.8645,0.000016299005
1663408800,2022-09-17 10:00:00,ALPHA/BTC,0.00000566,0.00000566,0.00000566,0.00000566,6.4663,0.000036599258
1663405200,2022-09-17 09:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000566,0.00000566,5.2273,0.000029672453
1663401600,2022-09-17 08:00:00,ALPHA/BTC,0.00000566,0.00000571,0.00000566,0.00000571,14.6891,0.000083224681
1663398000,2022-09-17 07:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,0,0
1663394400,2022-09-17 06:00:00,ALPHA/BTC,0.00000568,0.00000569,0.00000568,0.00000569,9.2534,0.000052641538
1663390800,2022-09-17 05:00:00,ALPHA/BTC,0.00000567,0.00000567,0.00000567,0.00000567,0,0
1663387200,2022-09-17 04:00:00,ALPHA/BTC,0.00000567,0.00000567,0.00000567,0.00000567,1.8284,0.000010367028
1663383600,2022-09-17 03:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,7.8397,0.000044607893
1663380000,2022-09-17 02:00:00,ALPHA/BTC,0.00000564,0.0000057,0.00000564,0.0000057,17.4186,0.00009860868
1663376400,2022-09-17 01:00:00,ALPHA/BTC,0.00000567,0.00000567,0.00000567,0.00000567,3.3689,0.000019101663
1663372800,2022-09-17 00:00:00,ALPHA/BTC,0.00000571,0.00000571,0.00000571,0.00000571,0,0
1663369200,2022-09-16 23:00:00,ALPHA/BTC,0.00000571,0.00000571,0.00000571,0.00000571,0,0
1663365600,2022-09-16 22:00:00,ALPHA/BTC,0.00000569,0.00000571,0.00000569,0.00000571,24.8808,0.000141685896
1663362000,2022-09-16 21:00:00,ALPHA/BTC,0.00000569,0.00000569,0.00000569,0.00000569,1.3885,0.000007900565
