https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHMB,Volume USDT
1663462800,2022-09-18 01:00:00,CHMB/USDT,0.000417,0.000417,0.000409,0.00041,5032273.8672,2075.0813859851
1663459200,2022-09-18 00:00:00,CHMB/USDT,0.000409,0.000447,0.000398,0.000412,93879947.9605,39501.696023146
1663455600,2022-09-17 23:00:00,CHMB/USDT,0.000398,0.00041,0.000387,0.000407,36847580.7741,14662.3878350035
1663452000,2022-09-17 22:00:00,CHMB/USDT,0.00038,0.000414,0.00038,0.000397,34657876.6291,13633.67120493
1663448400,2022-09-17 21:00:00,CHMB/USDT,0.00038,0.000395,0.000378,0.00038,23588230.9516,9103.0353898336
1663444800,2022-09-17 20:00:00,CHMB/USDT,0.000375,0.000382,0.000371,0.00038,23221132.5321,8748.2998461511
1663441200,2022-09-17 19:00:00,CHMB/USDT,0.000372,0.000382,0.000367,0.000377,17913778.5742,6752.5132689421
1663437600,2022-09-17 18:00:00,CHMB/USDT,0.000374,0.000379,0.000366,0.00037,23555874.4108,8781.0990501846
1663434000,2022-09-17 17:00:00,CHMB/USDT,0.000374,0.000375,0.000367,0.000375,23403696.5534,8708.1409130918
1663430400,2022-09-17 16:00:00,CHMB/USDT,0.000373,0.000375,0.000371,0.000375,33951648.8095,12661.2131151646
1663426800,2022-09-17 15:00:00,CHMB/USDT,0.000375,0.000378,0.000366,0.000374,31965910.3749,11900.6334281721
1663423200,2022-09-17 14:00:00,CHMB/USDT,0.000377,0.000379,0.00037,0.000375,18884310.2064,7085.6837024108
1663419600,2022-09-17 13:00:00,CHMB/USDT,0.000371,0.00038,0.00037,0.000377,30700706.3572,11592.8085032489
1663416000,2022-09-17 12:00:00,CHMB/USDT,0.000379,0.00038,0.000371,0.000373,31012744.4077,11678.1527160489
1663412400,2022-09-17 11:00:00,CHMB/USDT,0.000382,0.000382,0.000376,0.000379,14446846.288,5478.7933607522
1663408800,2022-09-17 10:00:00,CHMB/USDT,0.000377,0.000383,0.000376,0.000381,10691579.2759,4067.6595681674
1663405200,2022-09-17 09:00:00,CHMB/USDT,0.00038,0.000386,0.000372,0.000377,30408520.0282,11446.1071552561
1663401600,2022-09-17 08:00:00,CHMB/USDT,0.00038,0.000389,0.000375,0.000381,28140221.0119,10714.137832958
1663398000,2022-09-17 07:00:00,CHMB/USDT,0.000389,0.000394,0.000374,0.000379,30589819.8637,11719.3881428559
1663394400,2022-09-17 06:00:00,CHMB/USDT,0.000419,0.000419,0.000383,0.000386,49541102.0855,19625.8084819861
1663390800,2022-09-17 05:00:00,CHMB/USDT,0.000431,0.000455,0.000413,0.000419,54945453.6293,23642.8700146745
1663387200,2022-09-17 04:00:00,CHMB/USDT,0.00038,0.000441,0.00038,0.000434,61628043.2944,25531.0203141028
1663383600,2022-09-17 03:00:00,CHMB/USDT,0.000369,0.000388,0.000369,0.000381,24906971.9594,9497.9551415828
1663380000,2022-09-17 02:00:00,CHMB/USDT,0.000364,0.00037,0.00036,0.000369,15106852.8868,5526.1231566787
1663376400,2022-09-17 01:00:00,CHMB/USDT,0.00036,0.000365,0.000359,0.000365,14329323.1741,5183.126489705
1663372800,2022-09-17 00:00:00,CHMB/USDT,0.000359,0.00036,0.000357,0.000359,15407280.7624,5519.5014162316
1663369200,2022-09-16 23:00:00,CHMB/USDT,0.000362,0.000363,0.000359,0.000359,10821515.1709,3898.505366044
1663365600,2022-09-16 22:00:00,CHMB/USDT,0.000368,0.000368,0.000353,0.000362,39851640.374,14301.2966174917
1663362000,2022-09-16 21:00:00,CHMB/USDT,0.000363,0.00037,0.000361,0.000368,30532703.8642,11194.6525458083
1663358400,2022-09-16 20:00:00,CHMB/USDT,0.00037,0.000372,0.000356,0.000363,13767159.0964,4988.5999485603
1663354800,2022-09-16 19:00:00,CHMB/USDT,0.00037,0.000374,0.000368,0.000371,19091535.6288,7082.471280871
1663351200,2022-09-16 18:00:00,CHMB/USDT,0.000362,0.000375,0.000361,0.000369,28247538.7452,10425.1396679522
1663347600,2022-09-16 17:00:00,CHMB/USDT,0.000384,0.000384,0.000355,0.000361,39193003.2852,14418.1671459422
1663344000,2022-09-16 16:00:00,CHMB/USDT,0.000381,0.000389,0.000371,0.000385,30519478.0501,11722.2573370449
1663340400,2022-09-16 15:00:00,CHMB/USDT,0.000377,0.000382,0.000371,0.000378,19968818.4574,7532.2629987757
1663336800,2022-09-16 14:00:00,CHMB/USDT,0.000381,0.000393,0.00037,0.000378,23081835.3889,8786.8442121801
1663333200,2022-09-16 13:00:00,CHMB/USDT,0.000389,0.000392,0.000381,0.000383,20667168.4563,7995.0315388439
1663329600,2022-09-16 12:00:00,CHMB/USDT,0.000398,0.000399,0.000385,0.000389,24435105.1935,9632.5757045341
1663326000,2022-09-16 11:00:00,CHMB/USDT,0.000415,0.000419,0.000386,0.000397,40541397.5515,16104.6515452716
1663322400,2022-09-16 10:00:00,CHMB/USDT,0.000416,0.000427,0.000412,0.000417,25956457.9847,10838.7046916927
1663318800,2022-09-16 09:00:00,CHMB/USDT,0.000428,0.000437,0.000415,0.000417,29499822.6246,12507.902026662
1663315200,2022-09-16 08:00:00,CHMB/USDT,0.000439,0.000447,0.000415,0.000432,44533776.9135,19028.898328438
1663311600,2022-09-16 07:00:00,CHMB/USDT,0.000426,0.000446,0.000415,0.00044,35577021.4011,15162.8509266728
1663308000,2022-09-16 06:00:00,CHMB/USDT,0.000431,0.000449,0.000417,0.000427,49337292.8286,21140.7276402931
1663304400,2022-09-16 05:00:00,CHMB/USDT,0.000428,0.00047,0.000418,0.000433,73081134.9708,32748.1779762079
1663300800,2022-09-16 04:00:00,CHMB/USDT,0.000407,0.000431,0.000405,0.000425,49819690.3673,20718.3382059579
1663297200,2022-09-16 03:00:00,CHMB/USDT,0.000394,0.000411,0.00039,0.000409,22668091.0951,9063.5465073677
1663293600,2022-09-16 02:00:00,CHMB/USDT,0.000396,0.000398,0.000393,0.000397,23668307.5178,9361.4622712886
1663290000,2022-09-16 01:00:00,CHMB/USDT,0.000396,0.0004,0.000388,0.000397,18441354.8689,7287.9784980842
1663286400,2022-09-16 00:00:00,CHMB/USDT,0.000381,0.0004,0.00038,0.000394,17182726.3425,6642.1262466619
1663282800,2022-09-15 23:00:00,CHMB/USDT,0.000382,0.000383,0.000376,0.000381,20486838.6162,7781.5214865044
1663279200,2022-09-15 22:00:00,CHMB/USDT,0.000395,0.000402,0.000372,0.000383,31059652.4255,11992.7130581839
1663275600,2022-09-15 21:00:00,CHMB/USDT,0.000367,0.000396,0.000367,0.000396,21549674.0597,8318.6907587828
1663272000,2022-09-15 20:00:00,CHMB/USDT,0.000356,0.000367,0.000355,0.000367,22085296.7058,7934.9049742935
1663268400,2022-09-15 19:00:00,CHMB/USDT,0.000371,0.000372,0.000355,0.000356,21377739.5387,7757.6883249846
1663264800,2022-09-15 18:00:00,CHMB/USDT,0.000372,0.000375,0.000364,0.00037,21303616.2405,7873.9615334748
1663261200,2022-09-15 17:00:00,CHMB/USDT,0.000375,0.000378,0.000364,0.000371,19097826.2458,7073.2604903992
1663257600,2022-09-15 16:00:00,CHMB/USDT,0.000371,0.000379,0.000364,0.000375,19568000.2754,7270.3998415173
1663254000,2022-09-15 15:00:00,CHMB/USDT,0.000377,0.000384,0.000366,0.000372,20060828.4911,7440.7711194089
1663250400,2022-09-15 14:00:00,CHMB/USDT,0.000375,0.000393,0.000375,0.000381,30389404.4492,11697.5026027769
1663246800,2022-09-15 13:00:00,CHMB/USDT,0.000368,0.000375,0.000368,0.000374,22679868.844,8445.5912629195
1663243200,2022-09-15 12:00:00,CHMB/USDT,0.000367,0.000372,0.00036,0.000369,27560570.0892,10094.9556975699
1663239600,2022-09-15 11:00:00,CHMB/USDT,0.00036,0.000373,0.000355,0.000368,21916407.1982,8000.0252674059
1663236000,2022-09-15 10:00:00,CHMB/USDT,0.000365,0.000367,0.000354,0.000362,18447674.2788,6639.197671193
1663232400,2022-09-15 09:00:00,CHMB/USDT,0.00037,0.000372,0.00036,0.000365,19361784.7358,7089.2869872461
1663228800,2022-09-15 08:00:00,CHMB/USDT,0.000358,0.000373,0.000354,0.000369,29339871.5206,10654.0963446162
1663225200,2022-09-15 07:00:00,CHMB/USDT,0.00035,0.000359,0.00035,0.000358,18306447.1752,6459.4764201675
1663221600,2022-09-15 06:00:00,CHMB/USDT,0.000357,0.000357,0.000344,0.00035,23214936.4715,8109.2665254967
1663218000,2022-09-15 05:00:00,CHMB/USDT,0.000349,0.000362,0.000349,0.000357,21766065.3977,7707.6437311909
1663214400,2022-09-15 04:00:00,CHMB/USDT,0.000369,0.00037,0.000345,0.000348,32059726.5749,11419.7730510734
