https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUNE,Volume BTC
1663462800,2022-09-18 01:00:00,RUNE/BTC,0.00008911,0.00008911,0.00008911,0.00008911,0.2834,0.000025253774
1663459200,2022-09-18 00:00:00,RUNE/BTC,0.00008944,0.00008944,0.00008903,0.00008911,41.3611,0.003688991861
1663455600,2022-09-17 23:00:00,RUNE/BTC,0.00008931,0.00008957,0.00008922,0.00008948,15.8331,0.001415737806
1663452000,2022-09-17 22:00:00,RUNE/BTC,0.00008952,0.00008979,0.00008911,0.00008911,2366.9947,0.211422172346
1663448400,2022-09-17 21:00:00,RUNE/BTC,0.00008963,0.00008969,0.00008939,0.00008951,445.5582,0.039921959255
1663444800,2022-09-17 20:00:00,RUNE/BTC,0.00008973,0.00008989,0.00008973,0.0000898,358.1032,0.032168268399
1663441200,2022-09-17 19:00:00,RUNE/BTC,0.00009002,0.00009009,0.00008957,0.00008972,227.3997,0.020396089967
1663437600,2022-09-17 18:00:00,RUNE/BTC,0.00009019,0.00009031,0.00008994,0.00008994,3.1207,0.000281223271
1663434000,2022-09-17 17:00:00,RUNE/BTC,0.0000903,0.00009047,0.00008995,0.00009027,1311.7933,0.118413031831
1663430400,2022-09-17 16:00:00,RUNE/BTC,0.00008899,0.00009286,0.00008899,0.00009042,12879.0373,1.173517295507
1663426800,2022-09-17 15:00:00,RUNE/BTC,0.00008901,0.00008919,0.00008885,0.00008895,381.569,0.034000534943
1663423200,2022-09-17 14:00:00,RUNE/BTC,0.00008843,0.00008898,0.00008843,0.00008898,298.9475,0.026450794432
1663419600,2022-09-17 13:00:00,RUNE/BTC,0.00008859,0.00008859,0.00008837,0.00008845,336.4472,0.029757772163
1663416000,2022-09-17 12:00:00,RUNE/BTC,0.00008823,0.00008859,0.00008817,0.00008859,2717.2477,0.239747486321
1663412400,2022-09-17 11:00:00,RUNE/BTC,0.00008832,0.00008832,0.00008817,0.00008817,57.8279,0.005100370316
1663408800,2022-09-17 10:00:00,RUNE/BTC,0.00008848,0.00008848,0.00008827,0.00008827,26.682,0.00235583116
1663405200,2022-09-17 09:00:00,RUNE/BTC,0.00008847,0.00008859,0.00008839,0.00008859,56.8265,0.005028195748
1663401600,2022-09-17 08:00:00,RUNE/BTC,0.00008832,0.00008846,0.00008823,0.00008846,27.1545,0.002397797389
1663398000,2022-09-17 07:00:00,RUNE/BTC,0.00008808,0.00008835,0.00008806,0.00008821,24.5557,0.002164121933
1663394400,2022-09-17 06:00:00,RUNE/BTC,0.00008793,0.00008809,0.00008786,0.00008803,74.8759,0.006587524691
1663390800,2022-09-17 05:00:00,RUNE/BTC,0.00008809,0.00008809,0.00008787,0.00008788,103.3148,0.009089528636
