https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELO,Volume USDT
1663462800,2022-09-18 01:00:00,CELO/USDT,0.8085,0.8091,0.8074,0.8074,899.71237653,727.228829358418
1663459200,2022-09-18 00:00:00,CELO/USDT,0.8148,0.8148,0.8066,0.8085,7558.07206371,6111.929726686245
1663455600,2022-09-17 23:00:00,CELO/USDT,0.8134,0.8154,0.813,0.8149,385.5401,313.89597853
1663452000,2022-09-17 22:00:00,CELO/USDT,0.8119,0.8138,0.8102,0.8138,2335.4380818,1895.363607948998
1663448400,2022-09-17 21:00:00,CELO/USDT,0.8117,0.8128,0.8099,0.8115,372.1717,302.35194046
1663444800,2022-09-17 20:00:00,CELO/USDT,0.8108,0.8116,0.8083,0.8116,4154.66476834,3365.363336965902
1663441200,2022-09-17 19:00:00,CELO/USDT,0.8104,0.8108,0.8064,0.8108,6702.97670035,5409.941683270678
1663437600,2022-09-17 18:00:00,CELO/USDT,0.8111,0.8115,0.8107,0.8107,203.16090775,164.798379288356
1663434000,2022-09-17 17:00:00,CELO/USDT,0.8151,0.8186,0.8116,0.8116,3382.82090647,2757.303273426018
1663430400,2022-09-17 16:00:00,CELO/USDT,0.807,0.815,0.8069,0.8128,3531.11845167,2871.714950118096
1663426800,2022-09-17 15:00:00,CELO/USDT,0.8073,0.808,0.8044,0.8078,4451.0192287,3589.471235232015
1663423200,2022-09-17 14:00:00,CELO/USDT,0.8044,0.8072,0.8044,0.8071,3401.63468359,2741.915211101298
1663419600,2022-09-17 13:00:00,CELO/USDT,0.8036,0.8042,0.8018,0.8037,801.36857196,643.600105108397
1663416000,2022-09-17 12:00:00,CELO/USDT,0.7995,0.804,0.7985,0.8037,2907.00975831,2325.427304449296
1663412400,2022-09-17 11:00:00,CELO/USDT,0.7984,0.8022,0.7984,0.8002,1793.438948,1435.209112777302
1663408800,2022-09-17 10:00:00,CELO/USDT,0.8035,0.8037,0.794,0.7993,4041.55886953,3228.293690282993
1663405200,2022-09-17 09:00:00,CELO/USDT,0.8047,0.8053,0.8024,0.8037,449.71951305,361.266082898495
1663401600,2022-09-17 08:00:00,CELO/USDT,0.8051,0.8056,0.8049,0.8049,104.37011155,84.044476530101
1663398000,2022-09-17 07:00:00,CELO/USDT,0.8054,0.8055,0.8034,0.8047,468.79680159,377.182108538424
1663394400,2022-09-17 06:00:00,CELO/USDT,0.8045,0.8061,0.8043,0.8053,945.80781679,761.492335746577
1663390800,2022-09-17 05:00:00,CELO/USDT,0.8085,0.8085,0.8021,0.8032,8480.85272151,6819.908804556832
1663387200,2022-09-17 04:00:00,CELO/USDT,0.8091,0.8118,0.8091,0.8099,488.46499186,396.16580846846
1663383600,2022-09-17 03:00:00,CELO/USDT,0.8084,0.8095,0.8079,0.8087,95.4604,77.18008254
1663380000,2022-09-17 02:00:00,CELO/USDT,0.8097,0.8111,0.8073,0.8084,1126.2092,912.40808996
1663376400,2022-09-17 01:00:00,CELO/USDT,0.8065,0.8108,0.8065,0.8094,6237.10109928,5047.825397078959
1663372800,2022-09-17 00:00:00,CELO/USDT,0.7995,0.812,0.7995,0.8044,10478.22352033,8462.176641274927
1663369200,2022-09-16 23:00:00,CELO/USDT,0.7957,0.7991,0.7957,0.7991,632.2428,505.05220678
1663365600,2022-09-16 22:00:00,CELO/USDT,0.7968,0.7981,0.7952,0.7966,1465.31513609,1166.943462966211
1663362000,2022-09-16 21:00:00,CELO/USDT,0.7966,0.8007,0.795,0.7968,3883.65503006,3099.110707031065
1663358400,2022-09-16 20:00:00,CELO/USDT,0.7905,0.7972,0.7897,0.7967,21646.93107982,17199.14120658771
1663354800,2022-09-16 19:00:00,CELO/USDT,0.7872,0.7919,0.7872,0.7903,11782.1747,9301.78031973
1663351200,2022-09-16 18:00:00,CELO/USDT,0.7827,0.7902,0.7791,0.7882,6233.68673785,4879.231730934726
