https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume AUD,tradecount
1663545600000,2022-09-19 00:00:00,ETH/AUD,1984.54000000,1992.39000000,1980.07000000,1982.29000000,83.45930000,165627.10439000,333
1663542000000,2022-09-18 23:00:00,ETH/AUD,1991.17000000,2015.44000000,1978.00000000,1985.20000000,194.59290000,387946.95598800,511
1663538400000,2022-09-18 22:00:00,ETH/AUD,1989.32000000,1999.00000000,1978.70000000,1992.51000000,336.75200000,670002.54041000,963
1663534800000,2022-09-18 21:00:00,ETH/AUD,2043.50000000,2044.83000000,1979.08000000,1989.01000000,485.70180000,969780.36688900,1341
1663531200000,2022-09-18 20:00:00,ETH/AUD,2057.08000000,2058.95000000,2038.09000000,2051.48000000,42.35720000,86863.70572400,275
1663527600000,2022-09-18 19:00:00,ETH/AUD,2049.29000000,2068.30000000,2041.00000000,2059.96000000,29.85970000,61419.96471000,188
1663524000000,2022-09-18 18:00:00,ETH/AUD,2053.21000000,2068.74000000,2038.96000000,2050.00000000,104.44030000,214334.24925200,716
1663520400000,2022-09-18 17:00:00,ETH/AUD,2082.13000000,2084.19000000,2049.39000000,2053.20000000,121.87550000,251838.05367300,479
1663516800000,2022-09-18 16:00:00,ETH/AUD,2116.19000000,2123.86000000,2067.85000000,2081.36000000,226.88460000,474099.12018500,1204
1663513200000,2022-09-18 15:00:00,ETH/AUD,2119.98000000,2126.00000000,2106.18000000,2115.88000000,18.97170000,40137.82066900,123
1663509600000,2022-09-18 14:00:00,ETH/AUD,2138.12000000,2138.86000000,2102.80000000,2117.03000000,84.23710000,178318.76146300,488
1663506000000,2022-09-18 13:00:00,ETH/AUD,2143.80000000,2144.96000000,2134.55000000,2138.86000000,45.57950000,97550.76988900,189
1663502400000,2022-09-18 12:00:00,ETH/AUD,2137.59000000,2146.00000000,2126.87000000,2143.90000000,36.65250000,78208.51271500,272
1663498800000,2022-09-18 11:00:00,ETH/AUD,2137.19000000,2146.85000000,2134.25000000,2140.26000000,92.30990000,197579.25500300,305
1663495200000,2022-09-18 10:00:00,ETH/AUD,2122.75000000,2153.98000000,2114.34000000,2133.33000000,76.41640000,163020.39565000,495
1663491600000,2022-09-18 09:00:00,ETH/AUD,2170.30000000,2175.61000000,2123.60000000,2123.60000000,127.82750000,273809.31935400,425
1663488000000,2022-09-18 08:00:00,ETH/AUD,2165.91000000,2175.50000000,2164.37000000,2169.23000000,36.95170000,80134.15139900,184
1663484400000,2022-09-18 07:00:00,ETH/AUD,2170.86000000,2171.86000000,2164.81000000,2165.26000000,20.78350000,45057.61482800,118
1663480800000,2022-09-18 06:00:00,ETH/AUD,2173.57000000,2177.95000000,2165.00000000,2167.78000000,26.95310000,58518.10032500,188
1663477200000,2022-09-18 05:00:00,ETH/AUD,2167.34000000,2178.25000000,2167.34000000,2175.00000000,31.36110000,68139.32819500,132
1663473600000,2022-09-18 04:00:00,ETH/AUD,2164.47000000,2171.75000000,2161.83000000,2167.86000000,20.94210000,45396.50997300,163
1663470000000,2022-09-18 03:00:00,ETH/AUD,2170.66000000,2170.66000000,2157.90000000,2164.36000000,15.86050000,34326.24794800,121
1663466400000,2022-09-18 02:00:00,ETH/AUD,2166.78000000,2172.95000000,2166.27000000,2171.01000000,20.25400000,43942.83356900,168
1663462800000,2022-09-18 01:00:00,ETH/AUD,2166.32000000,2174.46000000,2162.14000000,2168.28000000,20.24480000,43889.61251100,140
1663459200000,2022-09-18 00:00:00,ETH/AUD,2188.00000000,2188.00000000,2160.41000000,2164.62000000,78.69290000,170861.78884900,401
1663455600000,2022-09-17 23:00:00,ETH/AUD,2185.18000000,2194.44000000,2180.00000000,2188.82000000,22.87020000,49987.83256400,132
1663452000000,2022-09-17 22:00:00,ETH/AUD,2167.63000000,2186.66000000,2163.12000000,2185.65000000,48.60470000,105743.35205800,304
