https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERN,Volume BTC
1663459200,2022-09-18 00:00:00,ERN/BTC,0.00008132,0.00008132,0.00008111,0.00008127,0.0529,0.000004297606
1663372800,2022-09-17 00:00:00,ERN/BTC,0.0000769,0.0000857,0.00007664,0.00008149,2461.9592,0.20057301277
1663286400,2022-09-16 00:00:00,ERN/BTC,0.0000765,0.00007831,0.00007611,0.0000769,550.0684,0.04251457714
1663200000,2022-09-15 00:00:00,ERN/BTC,0.00007888,0.00007912,0.00007652,0.00007652,701.1865,0.054644229597
1663113600,2022-09-14 00:00:00,ERN/BTC,0.0000785,0.0000793,0.00007707,0.00007843,1072.5114,0.084111022163
1663027200,2022-09-13 00:00:00,ERN/BTC,0.00007484,0.00007947,0.00007391,0.0000785,1272.4419,0.09751980448
1662940800,2022-09-12 00:00:00,ERN/BTC,0.00007947,0.00007947,0.00007391,0.00007415,1337.0103,0.102590139105
1662854400,2022-09-11 00:00:00,ERN/BTC,0.0000796,0.0000813,0.00007895,0.00007969,351.2947,0.028113960777
1662768000,2022-09-10 00:00:00,ERN/BTC,0.00008006,0.0000801,0.00007836,0.0000793,433.0515,0.034172903208
1662681600,2022-09-09 00:00:00,ERN/BTC,0.00008613,0.0000862,0.0000789,0.00007948,1743.2396,0.142009715099
1662595200,2022-09-08 00:00:00,ERN/BTC,0.00008449,0.00008648,0.0000825,0.00008612,1806.1531,0.152066786385
1662508800,2022-09-07 00:00:00,ERN/BTC,0.00008308,0.00008489,0.0000817,0.0000845,915.3281,0.076279670914
1662422400,2022-09-06 00:00:00,ERN/BTC,0.00008445,0.0000858,0.00008267,0.00008366,880.5082,0.074419622411
1662336000,2022-09-05 00:00:00,ERN/BTC,0.00008509,0.00008628,0.00008311,0.0000845,433.1074,0.036846782856
1662249600,2022-09-04 00:00:00,ERN/BTC,0.00008239,0.0000883,0.0000817,0.00008451,925.4972,0.079115382907
1662163200,2022-09-03 00:00:00,ERN/BTC,0.0000837,0.00008432,0.00008186,0.0000824,149.4457,0.012388043881
1662076800,2022-09-02 00:00:00,ERN/BTC,0.00008301,0.00008686,0.00008127,0.00008431,2439.5667,0.205467633314
1661990400,2022-09-01 00:00:00,ERN/BTC,0.0000797,0.00008348,0.0000789,0.00008268,884.8856,0.071955107012
1661904000,2022-08-31 00:00:00,ERN/BTC,0.00008078,0.00008157,0.00007853,0.00007928,818.5226,0.065645494581
1661817600,2022-08-30 00:00:00,ERN/BTC,0.0000825,0.00008404,0.00007999,0.0000801,649.5868,0.053029292046
1661731200,2022-08-29 00:00:00,ERN/BTC,0.00008,0.00008321,0.00007895,0.00008213,462.8208,0.037765811411
1661644800,2022-08-28 00:00:00,ERN/BTC,0.0000805,0.00008159,0.0000801,0.00008025,1714.8881,0.138334954786
1661558400,2022-08-27 00:00:00,ERN/BTC,0.0000787,0.00008859,0.00007769,0.0000805,4888.7424,0.399643748013
1661472000,2022-08-26 00:00:00,ERN/BTC,0.0000832,0.0000833,0.0000785,0.00007921,1635.1828,0.131271346986
1661385600,2022-08-25 00:00:00,ERN/BTC,0.00008166,0.00008432,0.00008166,0.00008269,568.5677,0.047211244292
1661299200,2022-08-24 00:00:00,ERN/BTC,0.0000821,0.0000825,0.00008081,0.0000817,1362.8331,0.110410763117
1661212800,2022-08-23 00:00:00,ERN/BTC,0.00008078,0.00008267,0.00007984,0.0000822,518.5733,0.04202418601
1661126400,2022-08-22 00:00:00,ERN/BTC,0.00008159,0.00008213,0.00007988,0.0000809,720.5954,0.058529857765
1661040000,2022-08-21 00:00:00,ERN/BTC,0.00008292,0.00008456,0.00008159,0.00008162,633.6902,0.052567016854
1660953600,2022-08-20 00:00:00,ERN/BTC,0.00008159,0.00008952,0.0000809,0.0000825,2087.4259,0.176770130437
1660867200,2022-08-19 00:00:00,ERN/BTC,0.00008277,0.00008332,0.00007816,0.00008159,2518.5839,0.203299462729
