https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume BTC
1660176000,2022-08-11 00:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660172400,2022-08-10 23:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660168800,2022-08-10 22:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660165200,2022-08-10 21:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660161600,2022-08-10 20:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660158000,2022-08-10 19:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660154400,2022-08-10 18:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660150800,2022-08-10 17:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660147200,2022-08-10 16:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660143600,2022-08-10 15:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660140000,2022-08-10 14:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660136400,2022-08-10 13:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,0.00000000,0.0
1660132800,2022-08-10 12:00:00,SNX/BTC,0.00016694,0.00016694,0.00016694,0.00016694,7.57575758,0.0012646969704052
1660129200,2022-08-10 11:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660125600,2022-08-10 10:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660122000,2022-08-10 09:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660118400,2022-08-10 08:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660114800,2022-08-10 07:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660111200,2022-08-10 06:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660107600,2022-08-10 05:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660104000,2022-08-10 04:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660100400,2022-08-10 03:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660096800,2022-08-10 02:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660093200,2022-08-10 01:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660089600,2022-08-10 00:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660086000,2022-08-09 23:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660082400,2022-08-09 22:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660078800,2022-08-09 21:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660075200,2022-08-09 20:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660071600,2022-08-09 19:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660068000,2022-08-09 18:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660064400,2022-08-09 17:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660060800,2022-08-09 16:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660057200,2022-08-09 15:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660053600,2022-08-09 14:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660050000,2022-08-09 13:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660046400,2022-08-09 12:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660042800,2022-08-09 11:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660039200,2022-08-09 10:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
1660035600,2022-08-09 09:00:00,SNX/BTC,0.00017144,0.00017144,0.00017144,0.00017144,0.00000000,0.0
