https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QUICK,Volume BTC
1663462800,2022-09-18 01:00:00,QUICK/BTC,0.002996,0.002996,0.002996,0.002996,0.0028,0.0000083888
1663459200,2022-09-18 00:00:00,QUICK/BTC,0.003029,0.003029,0.002988,0.002988,0.0029,0.000008739
1663455600,2022-09-17 23:00:00,QUICK/BTC,0.002972,0.002972,0.002972,0.002972,0.0025,0.00000743
1663452000,2022-09-17 22:00:00,QUICK/BTC,0.003002,0.003002,0.003002,0.003002,0.0037,0.0000111074
1663448400,2022-09-17 21:00:00,QUICK/BTC,0.003008,0.003008,0.00298,0.00298,0.072,0.0002150106
1663444800,2022-09-17 20:00:00,QUICK/BTC,0.003032,0.003032,0.003032,0.003032,0,0
1663441200,2022-09-17 19:00:00,QUICK/BTC,0.002968,0.003032,0.002955,0.003032,0.7474,0.0022162334
1663437600,2022-09-17 18:00:00,QUICK/BTC,0.003017,0.003017,0.002972,0.002972,0.0032,0.0000096049
1663434000,2022-09-17 17:00:00,QUICK/BTC,0.002967,0.002967,0.002967,0.002967,0.0309,0.0000916803
1663430400,2022-09-17 16:00:00,QUICK/BTC,0.003015,0.003015,0.003015,0.003015,0,0
1663426800,2022-09-17 15:00:00,QUICK/BTC,0.003027,0.003027,0.003015,0.003015,0.0036,0.000010878
1663423200,2022-09-17 14:00:00,QUICK/BTC,0.003022,0.003037,0.003022,0.003037,0.0034,0.0000102913
1663419600,2022-09-17 13:00:00,QUICK/BTC,0.002996,0.003028,0.002996,0.003028,0.0026,0.000007828
1663416000,2022-09-17 12:00:00,QUICK/BTC,0.003012,0.003012,0.003003,0.003003,0.0216,0.0000650151
1663412400,2022-09-17 11:00:00,QUICK/BTC,0.002941,0.00297,0.002934,0.00297,0.7462,0.0021927879
1663408800,2022-09-17 10:00:00,QUICK/BTC,0.002942,0.002957,0.002914,0.002957,0.3349,0.0009887187
1663405200,2022-09-17 09:00:00,QUICK/BTC,0.002911,0.002911,0.002897,0.002897,0.0956,0.000277292
