https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT
1659139200,2022-07-30 00:00:00,LSK/USDT,0.840708,0.9592,0.8208,0.8208,1760.26469277,1953.53530311
1659052800,2022-07-29 00:00:00,LSK/USDT,0.8208,0.8775,0.80280003,0.8393,50.09136153,59.90365329
1658966400,2022-07-28 00:00:00,LSK/USDT,0.8028,0.84,0.7679788,0.82080001,90.7802967,109.53120236
1658880000,2022-07-27 00:00:00,LSK/USDT,0.7509,0.8028,0.71830011,0.8028,127.16223323,164.05588161
1658793600,2022-07-26 00:00:00,LSK/USDT,0.7344,0.7344,0.721854,0.721854,14.84993656,20.45046425
1658707200,2022-07-25 00:00:00,LSK/USDT,0.7851,0.7851,0.7509,0.7509,27.30951305,35.98625625
1658620800,2022-07-24 00:00:00,LSK/USDT,0.7851,0.8392,0.7851,0.80358,72.36815897,91.38281279
1658534400,2022-07-23 00:00:00,LSK/USDT,0.7851001,0.7851001,0.7344,0.7851,21.17006927,27.45599127
1658448000,2022-07-22 00:00:00,LSK/USDT,0.838872,0.8393,0.8,0.8028,592.55122681,719.78384397
1658361600,2022-07-21 00:00:00,LSK/USDT,0.8208,0.8393,0.82,0.8393,7.72262545,9.37043464
1658275200,2022-07-20 00:00:00,LSK/USDT,0.8209388,0.862413,0.8208,0.8208,91.02375882,107.1270674
1658188800,2022-07-19 00:00:00,LSK/USDT,0.89099999,0.89099999,0.78512861,0.85819999,375.3647977,452.29292325
1658102400,2022-07-18 00:00:00,LSK/USDT,0.6285,0.95,0.6285,0.95,1961.6606863,2613.47222163
1657929600,2022-07-16 00:00:00,LSK/USDT,0.6147,0.6719,0.6105,0.6105,74.58172989,119.2086918
1657843200,2022-07-15 00:00:00,LSK/USDT,0.6285,0.6719,0.6285,0.6285,114.56864467,180.10019372
1657756800,2022-07-14 00:00:00,LSK/USDT,0.6285,0.6285,0.53,0.6285,908.81975571,1561.95201342
1657670400,2022-07-13 00:00:00,LSK/USDT,0.57406179,0.6147,0.57406179,0.6147,311.73282349,525.04276544
1657584000,2022-07-12 00:00:00,LSK/USDT,0.65,0.65,0.57000003,0.575,455.42234064,771.89675846
1657497600,2022-07-11 00:00:00,LSK/USDT,0.687,0.71,0.65,0.65,66.14251412,95.25336037
1657411200,2022-07-10 00:00:00,LSK/USDT,0.71830001,0.71830001,0.67190004,0.67190004,192.24957702,278.24595202
1657324800,2022-07-09 00:00:00,LSK/USDT,0.7509,0.7509,0.7344,0.7509,11.40398345,15.36660991
1657238400,2022-07-08 00:00:00,LSK/USDT,0.7344,0.7851,0.71830001,0.7851,31.9934939,42.6311556
1657152000,2022-07-07 00:00:00,LSK/USDT,0.6719,0.7344,0.6719,0.7344,23.49434174,33.95219173
1657065600,2022-07-06 00:00:00,LSK/USDT,0.69999999,0.7183,0.6,0.6,73.52207476,113.81568826
1656979200,2022-07-05 00:00:00,LSK/USDT,0.7344,0.76779999,0.64,0.7024,318.2312259,448.53834375
1656892800,2022-07-04 00:00:00,LSK/USDT,0.70240004,0.7344,0.67,0.7344,148.13170084,213.37927314
